id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11843836,1,2015,0.027,0.052,0.030,0.000,0.056,0.032,0.031,0.034,0.021,0.012,0.000,0.030,0.042,0.027,3,0,0.29098,1,1,1,80,20.0,5.0,,0,0,66,20.0,9.0
11844461,1,2015,0.098,0.011,0.000,0.053,0.000,0.030,0.016,0.057,0.054,0.060,0.000,0.035,0.023,0.025,3,1,0.48810,1,1,1,60,28.0,7.0,,0,1,92,,5.0
11844527,1,2015,0.016,0.179,0.000,0.000,0.000,0.000,0.000,0.031,0.069,0.019,0.106,0.035,0.000,0.000,4,1,0.36513,1,1,1,80,28.0,4.0,,0,0,86,4.0,9.0
11844584,1,2015,0.015,0.000,0.000,0.000,0.098,0.000,0.034,0.029,0.034,0.103,0.021,0.000,0.000,0.000,4,1,0.36598,1,1,1,80,25.0,5.0,,0,0,91,23.0,57.0
11844628,1,2015,0.015,0.063,0.034,0.074,0.083,0.014,0.097,0.178,0.115,0.031,0.056,0.049,0.208,0.082,5,0,0.26894,1,1,1,70,28.0,6.0,,0,0,86,0.0,35.0
11844653,1,2015,0.013,0.070,0.056,0.000,0.030,0.000,0.000,0.000,0.126,0.103,0.039,0.064,0.000,0.020,4,1,0.36861,1,1,1,70,25.0,5.0,,0,0,79,82.0,68.0
11844719,1,2015,0.036,0.064,0.000,0.029,0.035,0.072,0.079,0.031,0.055,0.070,0.028,0.057,0.000,0.025,3,2,0.45089,1,1,0,20,28.0,,93.0,0,0,0,34.0,27.0
11844801,1,2015,0.069,0.334,0.000,0.070,0.093,0.058,0.018,0.028,0.081,0.052,0.119,0.013,0.023,0.025,3,1,0.43701,1,1,1,60,31.0,3.0,,0,0,74,72.0,20.0
11844995,1,2015,0.132,0.000,0.034,0.070,0.000,0.030,0.000,0.082,0.000,0.000,0.021,0.128,0.074,0.079,2,2,0.47638,1,1,0,80,27.0,4.0,,0,0,0,,11.0
11845190,1,2015,0.012,0.035,0.060,0.089,0.076,0.045,0.018,0.088,0.074,0.022,0.000,0.065,0.057,0.090,3,1,0.47638,1,1,1,50,31.0,4.0,,0,0,73,33.0,55.0
11845193,1,2015,0.092,0.011,0.124,0.027,0.044,0.076,0.018,0.087,0.211,0.119,0.000,0.000,0.023,0.059,6,0,0.20066,1,1,0,80,27.0,3.0,,0,0,0,,6.0
11845311,1,2015,0.028,0.131,0.000,0.000,0.020,0.000,0.000,0.000,0.037,0.076,0.144,0.000,0.026,0.032,3,1,0.42361,1,1,1,50,30.0,4.0,,0,0,84,37.0,56.0
11845425,1,2015,0.047,0.000,0.017,0.000,0.000,0.000,0.016,0.029,0.000,0.000,0.000,0.030,0.045,0.027,2,2,0.41129,1,1,1,70,33.0,5.0,,0,0,87,50.0,44.0
11845711,0,2015,0.000,0.000,0.000,0.026,0.021,0.072,0.000,0.000,0.000,0.047,0.000,0.070,0.000,0.000,1,1,0.79688,1,1,1,60,,3.0,,0,0,85,,70.0
11845816,1,2015,0.012,0.000,0.000,0.015,0.035,0.014,0.000,0.000,0.057,0.029,0.028,0.000,0.000,0.000,4,1,0.32979,1,1,1,70,29.0,5.0,,0,0,68,,0.0
11845926,1,2015,0.015,0.020,0.000,0.000,0.000,0.142,0.022,0.000,0.031,0.015,0.105,0.016,0.000,0.000,2,2,0.55488,1,1,1,60,28.0,4.0,,0,0,82,,66.0
11846286,1,2015,0.000,0.055,0.000,0.111,0.215,0.122,0.018,0.016,0.082,0.089,0.027,0.035,0.091,0.080,2,1,0.74020,1,1,1,60,32.0,3.0,,0,0,85,7.0,25.0
11846316,1,2015,0.000,0.146,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.161,0.000,0.045,0.000,3,2,0.38060,1,1,1,60,32.0,4.0,,0,0,76,,0.0
11846341,1,2015,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.033,0.020,0.000,4,1,0.33065,1,1,1,60,26.0,3.0,,0,0,88,83.0,85.0
11846439,1,2015,0.015,0.000,0.014,0.000,0.021,0.068,0.034,0.063,0.000,0.000,0.000,0.013,0.000,0.047,3,1,0.33197,1,1,1,80,28.0,5.0,,0,0,84,,50.0
11846480,1,2015,0.030,0.000,0.000,0.092,0.087,0.176,0.075,0.115,0.110,0.000,0.253,0.000,0.296,0.186,4,1,0.33212,1,1,1,80,38.0,6.0,,0,0,87,74.0,62.0
11846627,1,2015,0.015,0.055,0.000,0.089,0.048,0.032,0.090,0.034,0.061,0.000,0.051,0.000,0.189,0.063,3,1,0.34259,1,1,1,60,27.0,5.0,,0,0,73,55.0,53.0
11846665,1,2015,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.114,0.031,0.036,0.028,0.000,0.000,0.000,3,1,0.52299,1,1,1,90,24.0,4.0,,0,0,89,5.0,13.0
11846746,1,2015,0.015,0.017,0.000,0.000,0.020,0.000,0.047,0.029,0.000,0.059,0.000,0.000,0.012,0.020,2,1,0.56250,1,1,1,50,28.0,5.0,,0,0,77,17.0,9.0
11846946,1,2015,0.036,0.000,0.060,0.000,0.000,0.020,0.038,0.050,0.000,0.000,0.018,0.000,0.056,0.025,2,1,0.47436,1,1,1,70,27.0,8.0,,0,0,87,65.0,63.0
11846993,1,2015,0.067,0.000,0.000,0.099,0.062,0.106,0.022,0.028,0.139,0.177,0.066,0.035,0.100,0.088,3,1,0.33178,1,1,1,70,39.0,6.0,,0,0,85,56.0,86.0
11847186,1,2015,0.000,0.000,0.000,0.000,0.050,0.108,0.018,0.000,0.034,0.077,0.027,0.035,0.043,0.000,4,1,0.48810,1,1,0,70,23.0,2.0,,0,0,0,0.0,78.0
11847197,1,2015,0.000,0.000,0.000,0.057,0.000,0.000,0.000,0.062,0.000,0.000,0.000,0.000,0.031,0.000,3,0,0.25000,1,1,0,60,35.0,3.0,,0,0,0,83.0,88.0
11847349,1,2015,0.000,0.000,0.021,0.000,0.000,0.128,0.072,0.136,0.018,0.000,0.000,0.029,0.000,0.000,3,2,0.39423,1,1,1,70,34.0,3.0,,0,0,78,0.0,20.0
11847375,1,2015,0.000,0.069,0.000,0.036,0.000,0.000,0.016,0.031,0.126,0.057,0.083,0.000,0.000,0.015,5,0,0.22768,1,1,1,80,32.0,8.0,,0,0,90,85.0,91.0
11847377,1,2015,0.015,0.038,0.076,0.029,0.014,0.000,0.062,0.013,0.036,0.000,0.000,0.065,0.000,0.080,3,1,0.33117,1,1,1,50,31.0,4.0,,0,0,79,2.0,7.0
11847684,1,2015,0.082,0.052,0.031,0.027,0.029,0.076,0.067,0.208,0.117,0.115,0.039,0.044,0.023,0.045,4,1,0.59314,1,1,1,50,26.0,4.0,,0,0,76,36.0,25.0
11847784,1,2015,0.039,0.000,0.032,0.000,0.014,0.000,0.018,0.000,0.015,0.000,0.084,0.000,0.045,0.017,2,1,0.65761,1,1,1,50,33.0,5.0,,0,0,81,53.0,41.0
11847954,1,2015,0.038,0.028,0.062,0.017,0.020,0.000,0.000,0.025,0.167,0.195,0.039,0.046,0.020,0.020,4,1,0.42045,1,1,1,70,27.0,3.0,,0,0,72,8.0,8.0
11848183,1,2015,0.015,0.012,0.000,0.054,0.000,0.072,0.016,0.168,0.024,0.079,0.027,0.035,0.069,0.000,4,1,0.37755,1,1,1,70,30.0,4.0,,0,0,91,34.0,62.0
11848224,1,2015,0.052,0.255,0.000,0.176,0.101,0.000,0.000,0.000,0.065,0.012,0.037,0.013,0.099,0.198,4,1,0.52961,1,1,1,80,38.0,7.0,,0,0,81,31.0,33.0
11848280,1,2015,0.013,0.055,0.065,0.000,0.029,0.000,0.018,0.073,0.328,0.224,0.038,0.033,0.020,0.020,5,1,0.51361,1,1,1,70,34.0,5.0,,0,0,77,41.0,45.0
11848448,1,2015,0.039,0.000,0.000,0.012,0.000,0.056,0.000,0.000,0.031,0.015,0.055,0.078,0.066,0.027,5,0,0.29310,1,1,1,50,29.0,6.0,,0,0,80,50.0,62.0
11848478,1,2015,0.025,0.000,0.000,0.106,0.145,0.160,0.036,0.083,0.112,0.182,0.075,0.079,0.154,0.126,3,1,0.36161,1,1,1,50,32.0,5.0,,0,0,77,,0.0
11848573,1,2015,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.000,0.102,0.071,0.242,0.000,0.056,0.000,3,2,0.42361,1,1,1,60,32.0,4.0,,0,0,81,70.0,
11848603,0,2015,0.054,0.066,0.086,0.092,0.077,0.030,0.018,0.094,0.246,0.101,0.000,0.105,0.077,0.109,3,2,0.43519,1,1,1,40,,6.0,,0,0,84,64.0,73.0
11848640,1,2015,0.016,0.000,0.051,0.000,0.021,0.030,0.013,0.000,0.057,0.063,0.054,0.029,0.000,0.000,3,1,0.52299,1,1,1,60,28.0,6.0,,0,0,89,10.0,71.0
11848680,1,2015,0.000,0.017,0.062,0.000,0.077,0.014,0.000,0.000,0.064,0.027,0.067,0.029,0.000,0.057,3,1,0.36161,1,1,1,80,27.0,5.0,,0,0,81,,
11848792,1,2015,0.115,0.037,0.000,0.027,0.000,0.030,0.000,0.051,0.024,0.063,0.010,0.048,0.023,0.056,4,1,0.30342,1,1,1,70,29.0,5.0,,0,0,87,4.0,50.0
11849062,1,2015,0.012,0.243,0.000,0.029,0.034,0.020,0.126,0.062,0.000,0.012,0.067,0.062,0.000,0.040,2,1,0.64013,1,1,1,60,33.0,2.0,,0,0,87,42.0,84.0
11849160,1,2015,0.000,0.000,0.076,0.046,0.103,0.028,0.000,0.025,0.141,0.079,0.204,0.107,0.099,0.095,3,0,0.28505,1,1,1,60,26.0,6.0,,0,0,77,9.0,
11850431,1,2015,0.000,0.000,0.014,0.000,0.047,0.072,0.000,0.000,0.000,0.025,0.000,0.035,0.000,0.000,3,1,0.38889,1,1,1,70,30.0,2.0,,0,0,86,38.0,64.0
11850554,1,2015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0.45833,1,1,1,70,28.0,4.0,,0,0,78,0.0,0.0
11850582,1,2015,0.067,0.000,0.048,0.073,0.054,0.046,0.000,0.076,0.022,0.000,0.000,0.065,0.105,0.088,2,1,0.73077,1,1,1,80,26.0,6.0,,0,0,84,35.0,72.0
11850821,1,2015,0.030,0.020,0.021,0.098,0.021,0.020,0.165,0.029,0.018,0.060,0.010,0.079,0.088,0.040,5,1,0.40511,1,1,1,60,35.0,5.0,,0,0,83,39.0,31.0
11851222,1,2015,0.074,0.011,0.032,0.073,0.062,0.030,0.074,0.028,0.094,0.019,0.099,0.000,0.158,0.137,3,1,0.44161,1,1,1,70,28.0,3.0,,0,0,80,30.0,18.0
11851392,1,2015,0.030,0.000,0.031,0.072,0.045,0.000,0.000,0.025,0.125,0.094,0.080,0.016,0.088,0.063,3,1,0.33197,1,1,1,60,39.0,5.0,,0,0,85,90.0,82.0
11851661,1,2015,0.000,0.047,0.021,0.092,0.087,0.000,0.000,0.000,0.102,0.015,0.067,0.042,0.068,0.126,4,1,0.36161,1,1,1,50,28.0,3.0,,0,0,84,70.0,50.0
11851714,1,2015,0.000,0.064,0.000,0.026,0.020,0.000,0.000,0.023,0.000,0.082,0.134,0.065,0.026,0.041,4,1,0.31098,1,1,1,80,33.0,5.0,,0,0,89,,
11851775,1,2015,0.000,0.033,0.000,0.000,0.035,0.072,0.031,0.000,0.055,0.114,0.049,0.053,0.000,0.086,3,1,0.47436,1,1,1,60,33.0,5.0,,0,0,81,5.0,14.0
11851784,1,2015,0.000,0.020,0.000,0.043,0.021,0.000,0.000,0.000,0.035,0.030,0.000,0.000,0.031,0.052,4,1,0.49390,1,1,1,70,34.0,4.0,,0,0,82,19.0,3.0
11851914,0,2015,0.015,0.105,0.123,0.000,0.021,0.072,0.000,0.025,0.000,0.025,0.067,0.097,0.062,0.000,3,2,0.39803,1,1,1,70,,5.0,,0,0,85,64.0,
11852107,1,2015,0.000,0.165,0.000,0.074,0.014,0.000,0.060,0.000,0.000,0.000,0.021,0.000,0.000,0.000,3,1,0.36228,1,1,1,90,29.0,3.0,,0,0,72,,22.0
11852209,1,2015,0.000,0.047,0.034,0.000,0.050,0.000,0.098,0.025,0.065,0.067,0.222,0.044,0.020,0.061,2,2,0.43162,1,1,1,40,30.0,4.0,,0,0,91,5.0,19.0
11852264,1,2015,0.000,0.072,0.014,0.000,0.000,0.000,0.045,0.047,0.046,0.015,0.067,0.022,0.000,0.000,3,1,0.39764,1,1,1,70,28.0,3.0,,0,0,81,5.0,
11852298,1,2015,0.054,0.000,0.000,0.073,0.075,0.030,0.115,0.028,0.022,0.026,0.000,0.036,0.057,0.300,4,1,0.54762,1,1,1,80,37.0,4.0,,0,0,87,73.0,93.0
11852371,1,2015,0.054,0.094,0.021,0.027,0.029,0.050,0.103,0.028,0.052,0.052,0.045,0.029,0.023,0.042,6,0,0.20130,1,1,1,60,34.0,5.0,,0,0,80,44.0,20.0
11852484,1,2015,0.073,0.000,0.014,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.027,0.011,0.043,0.025,5,1,0.41753,1,1,1,80,34.0,6.0,,0,0,78,65.0,56.0
11852499,1,2015,0.054,0.000,0.000,0.195,0.130,0.076,0.106,0.101,0.104,0.074,0.000,0.035,0.147,0.151,4,1,0.36598,1,1,1,70,32.0,4.0,,0,0,82,50.0,30.0
11852509,1,2015,0.000,0.085,0.014,0.029,0.014,0.000,0.000,0.000,0.064,0.073,0.067,0.014,0.000,0.000,3,1,0.33152,1,1,1,70,28.0,5.0,,0,0,81,53.0,63.0
11852646,1,2015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.030,0.000,0.000,0.000,0.000,3,1,0.57258,1,1,1,70,34.0,7.0,,0,0,86,71.0,
11852860,1,2015,0.013,0.000,0.055,0.000,0.000,0.180,0.107,0.025,0.116,0.052,0.223,0.062,0.235,0.066,3,2,0.35827,1,1,1,60,25.0,4.0,,0,0,76,7.0,
11852920,1,2015,0.028,0.000,0.039,0.086,0.015,0.064,0.052,0.191,0.052,0.037,0.039,0.000,0.000,0.000,4,1,0.40625,1,1,1,60,31.0,5.0,,0,0,84,,16.0
11852936,1,2015,0.000,0.000,0.042,0.000,0.102,0.072,0.018,0.000,0.101,0.118,0.028,0.093,0.000,0.020,2,1,0.64216,1,1,1,70,29.0,2.0,,0,0,72,52.0,35.0
11853074,1,2015,0.049,0.022,0.000,0.000,0.058,0.000,0.036,0.000,0.244,0.226,0.049,0.000,0.000,0.025,2,2,0.59091,1,1,1,50,35.0,5.0,,0,0,77,,4.0
11853098,1,2015,0.000,0.000,0.000,0.091,0.089,0.186,0.031,0.037,0.022,0.072,0.000,0.123,0.034,0.103,3,1,0.44608,1,1,1,50,26.0,4.0,,0,0,89,,40.0
11853407,1,2015,0.054,0.011,0.000,0.124,0.104,0.212,0.000,0.044,0.076,0.090,0.000,0.070,0.057,0.105,3,1,0.43162,1,1,1,80,30.0,6.0,,0,1,91,85.0,79.0
11853568,1,2015,0.069,0.026,0.065,0.073,0.126,0.044,0.083,0.204,0.165,0.104,0.000,0.100,0.077,0.128,3,2,0.42523,1,1,1,60,29.0,6.0,,0,0,84,,13.0
11853662,1,2015,0.015,0.000,0.000,0.000,0.035,0.072,0.000,0.044,0.000,0.079,0.000,0.035,0.052,0.000,2,1,0.60448,1,1,1,60,35.0,5.0,,0,0,89,67.0,65.0
11853733,1,2015,0.051,0.000,0.000,0.024,0.000,0.000,0.016,0.015,0.000,0.000,0.000,0.000,0.000,0.025,2,1,0.60448,1,1,1,70,30.0,5.0,,0,0,79,,0.0
11853919,1,2015,0.061,0.000,0.048,0.000,0.127,0.000,0.018,0.000,0.034,0.052,0.000,0.000,0.000,0.057,3,2,0.35417,1,1,1,70,24.0,4.0,,0,0,78,59.0,30.0
11853931,1,2015,0.054,0.052,0.000,0.070,0.000,0.030,0.144,0.090,0.000,0.000,0.000,0.123,0.110,0.132,4,1,0.34470,1,1,1,70,31.0,6.0,,0,0,87,20.0,26.0
11854011,1,2015,0.000,0.011,0.000,0.058,0.033,0.000,0.000,0.000,0.162,0.079,0.071,0.000,0.034,0.063,3,1,0.55488,1,1,1,60,28.0,4.0,,0,0,77,,38.0
11854019,1,2015,0.046,0.020,0.021,0.000,0.000,0.056,0.139,0.058,0.031,0.000,0.027,0.065,0.043,0.115,4,1,0.34615,1,1,1,80,27.0,6.0,,0,0,88,23.0,7.0
11854344,1,2015,0.140,0.132,0.031,0.070,0.014,0.030,0.016,0.130,0.068,0.069,0.155,0.000,0.023,0.067,5,0,0.23563,1,1,1,50,34.0,5.0,,0,0,81,14.0,60.0
11854558,1,2015,0.000,0.052,0.036,0.000,0.021,0.118,0.000,0.000,0.018,0.025,0.000,0.110,0.028,0.000,2,2,0.45492,1,1,1,70,25.0,5.0,,0,0,86,19.0,29.0
11854642,1,2015,0.082,0.038,0.055,0.171,0.029,0.066,0.072,0.057,0.052,0.059,0.096,0.035,0.167,0.042,5,1,0.37755,1,1,1,80,27.0,5.0,,0,0,84,,35.0
11854655,1,2015,0.140,0.020,0.000,0.027,0.000,0.030,0.062,0.028,0.000,0.015,0.010,0.081,0.023,0.105,2,2,0.58482,1,1,1,60,27.0,4.0,,0,0,75,13.0,4.0
11855233,1,2015,0.050,0.020,0.000,0.000,0.000,0.000,0.022,0.000,0.000,0.042,0.211,0.000,0.026,0.000,3,1,0.34615,1,1,1,60,33.0,4.0,,0,0,79,62.0,59.0
11855343,1,2015,0.119,0.011,0.000,0.096,0.084,0.030,0.000,0.028,0.054,0.019,0.000,0.000,0.091,0.148,4,1,0.34354,1,1,1,70,30.0,4.0,,0,0,77,11.0,13.0
11855360,1,2015,0.154,0.000,0.045,0.070,0.000,0.078,0.016,0.057,0.000,0.000,0.000,0.000,0.054,0.025,4,1,0.30342,1,1,1,60,28.0,6.0,,0,1,91,10.0,14.0
11855479,0,2015,0.054,0.000,0.046,0.027,0.035,0.074,0.067,0.053,0.088,0.015,0.088,0.018,0.023,0.135,2,2,0.43701,1,1,1,40,,4.0,,0,0,79,35.0,67.0
11855589,1,2015,0.080,0.026,0.000,0.000,0.000,0.000,0.048,0.131,0.000,0.000,0.000,0.022,0.000,0.000,4,1,0.37195,1,1,1,70,33.0,7.0,,0,0,83,0.0,0.0
11855902,1,2015,0.000,0.000,0.062,0.000,0.032,0.020,0.000,0.050,0.126,0.078,0.000,0.000,0.000,0.050,3,1,0.54891,1,1,1,80,32.0,5.0,,0,0,90,,28.0
11855933,1,2015,0.000,0.023,0.000,0.092,0.111,0.014,0.031,0.016,0.163,0.034,0.106,0.018,0.034,0.103,3,1,0.42523,1,1,1,50,29.0,6.0,,0,0,77,12.0,7.0
11856382,1,2015,0.000,0.000,0.000,0.046,0.080,0.000,0.000,0.036,0.022,0.026,0.000,0.000,0.034,0.100,4,0,0.29310,1,1,1,80,29.0,5.0,,0,0,71,,12.0
11856438,1,2015,0.015,0.026,0.034,0.074,0.054,0.030,0.047,0.209,0.022,0.000,0.000,0.119,0.094,0.103,3,2,0.36598,1,1,1,60,24.0,3.0,,0,0,83,61.0,32.0
