id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11842961,1,2015,0.119,0.022,0.000,0.055,0.011,0.093,0.009,0.020,0.083,0.016,0.020,0.039,2,1,0.57075,1,1,1,90.0,32.0,6.0,,0,0,87,56.0,
11843021,1,2015,0.041,0.009,0.011,0.040,0.036,0.021,0.010,0.025,0.000,0.028,0.009,0.034,2,1,0.68519,1,1,1,60.0,28.0,4.0,,0,0,90,0.0,0.0
11843134,1,2015,0.008,0.055,0.009,0.022,0.036,0.026,0.012,0.008,0.079,0.038,0.095,0.113,3,0,0.28873,1,1,1,50.0,27.0,3.0,,0,0,79,24.0,
11843187,1,2015,0.036,0.088,0.139,0.031,0.037,0.018,0.028,0.012,0.171,0.058,0.000,0.244,3,1,0.44485,1,1,1,50.0,33.0,3.0,,0,0,80,,30.0
11843550,1,2015,0.021,0.000,0.000,0.024,0.000,0.010,0.009,0.008,0.000,0.000,0.000,0.000,3,2,0.42187,1,1,1,60.0,29.0,4.0,,0,0,84,75.0,93.0
11843567,1,2015,0.025,0.043,0.057,0.031,0.026,0.010,0.033,0.000,0.029,0.030,0.034,0.066,3,1,0.70349,1,1,1,60.0,34.0,5.0,,0,0,81,68.0,61.0
11843642,1,2015,0.011,0.111,0.084,0.012,0.028,0.017,0.026,0.000,0.220,0.058,0.064,0.298,2,1,0.67730,1,1,1,70.0,27.0,6.0,,0,0,77,26.0,
11843694,1,2015,0.038,0.052,0.112,0.027,0.036,0.000,0.073,0.034,0.081,0.000,0.062,0.106,2,2,0.43534,1,1,1,50.0,26.0,4.0,,0,0,74,48.0,36.0
11843713,1,2015,0.015,0.096,0.109,0.035,0.023,0.036,0.018,0.020,0.134,0.052,0.021,0.237,2,1,0.81532,1,1,1,70.0,29.0,4.0,,0,0,92,13.0,7.0
11843836,1,2015,0.008,0.009,0.009,0.000,0.010,0.011,0.000,0.000,0.007,0.010,0.061,0.000,2,2,0.52155,1,1,1,80.0,20.0,5.0,,0,0,66,20.0,9.0
11844461,1,2015,0.025,0.012,0.020,0.077,0.019,0.042,0.027,0.000,0.041,0.030,0.025,0.028,4,0,0.25610,1,1,1,60.0,28.0,7.0,,0,1,92,,5.0
11844527,1,2015,0.016,0.039,0.097,0.009,0.009,0.019,0.000,0.017,0.047,0.011,0.070,0.043,3,2,0.42908,1,1,1,80.0,28.0,4.0,,0,0,86,4.0,9.0
11844584,1,2015,0.000,0.018,0.024,0.013,0.000,0.016,0.008,0.012,0.048,0.013,0.016,0.069,2,1,0.76163,1,1,1,80.0,25.0,5.0,,0,0,91,23.0,57.0
11844628,1,2015,0.076,0.070,0.031,0.057,0.026,0.041,0.027,0.014,0.165,0.124,0.053,0.091,3,1,0.48016,1,1,1,70.0,28.0,6.0,,0,0,86,0.0,35.0
11844653,1,2015,0.000,0.036,0.009,0.000,0.017,0.017,0.009,0.000,0.042,0.008,0.015,0.036,3,1,0.37603,1,1,1,70.0,25.0,5.0,,0,0,79,82.0,68.0
11844719,1,2015,0.020,0.042,0.064,0.036,0.008,0.019,0.014,0.036,0.039,0.027,0.043,0.062,2,1,0.63514,1,1,0,20.0,28.0,,93.0,0,0,0,34.0,27.0
11844801,1,2015,0.034,0.030,0.191,0.043,0.035,0.020,0.063,0.017,0.027,0.032,0.009,0.100,3,1,0.54132,1,1,1,60.0,31.0,3.0,,0,0,74,72.0,20.0
11844995,1,2015,0.090,0.015,0.024,0.074,0.027,0.038,0.022,0.014,0.000,0.032,0.041,0.000,1,1,0.75794,1,1,0,80.0,27.0,4.0,,0,0,0,,11.0
11845190,1,2015,0.015,0.000,0.000,0.031,0.000,0.049,0.009,0.012,0.009,0.000,0.000,0.015,2,1,0.73437,1,1,1,50.0,31.0,4.0,,0,0,73,33.0,55.0
11845193,1,2015,0.040,0.037,0.029,0.046,0.042,0.048,0.017,0.020,0.094,0.048,0.021,0.133,4,1,0.43377,1,1,0,80.0,27.0,3.0,,0,0,0,,6.0
11845311,1,2015,0.018,0.000,0.048,0.012,0.037,0.009,0.048,0.034,0.016,0.000,0.043,0.057,1,1,0.68939,1,1,1,50.0,30.0,4.0,,0,0,84,37.0,56.0
11845425,1,2015,0.017,0.000,0.000,0.013,0.000,0.014,0.008,0.000,0.012,0.030,0.016,0.000,2,1,0.50000,1,1,1,70.0,33.0,5.0,,0,0,87,50.0,44.0
11845711,0,2015,0.012,0.013,0.022,0.031,0.000,0.040,0.009,0.019,0.019,0.000,0.000,0.011,3,1,0.50000,1,1,1,60.0,,3.0,,0,0,85,,70.0
11845816,1,2015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,1,1,0.82258,1,1,1,70.0,29.0,5.0,,0,0,68,,0.0
11845926,1,2015,0.008,0.027,0.024,0.020,0.038,0.000,0.021,0.026,0.020,0.000,0.058,0.018,2,1,0.71978,1,1,1,60.0,28.0,4.0,,0,0,82,,66.0
11846286,1,2015,0.032,0.074,0.083,0.015,0.021,0.008,0.042,0.019,0.140,0.024,0.025,0.117,2,1,0.74752,1,1,1,60.0,32.0,3.0,,0,0,85,7.0,25.0
11846316,1,2015,0.009,0.000,0.061,0.000,0.009,0.000,0.018,0.017,0.000,0.000,0.009,0.018,4,2,0.33696,1,1,1,60.0,32.0,4.0,,0,0,76,,0.0
11846341,1,2015,0.015,0.015,0.013,0.012,0.000,0.000,0.012,0.014,0.000,0.013,0.019,0.000,2,2,0.50000,1,1,1,60.0,26.0,3.0,,0,0,88,83.0,85.0
11846439,1,2015,0.000,0.000,0.000,0.013,0.000,0.011,0.008,0.000,0.012,0.010,0.038,0.000,3,2,0.36979,1,1,1,80.0,28.0,5.0,,0,0,84,,50.0
11846480,1,2015,0.030,0.128,0.000,0.026,0.080,0.027,0.064,0.000,0.288,0.091,0.120,0.078,2,1,0.72901,1,1,1,80.0,38.0,6.0,,0,0,87,74.0,62.0
11846627,1,2015,0.027,0.022,0.009,0.012,0.026,0.000,0.021,0.000,0.093,0.095,0.022,0.024,3,1,0.46894,1,1,1,60.0,27.0,5.0,,0,0,73,55.0,53.0
11846665,1,2015,0.021,0.073,0.024,0.032,0.008,0.021,0.000,0.000,0.020,0.008,0.053,0.051,2,1,0.60989,1,1,1,90.0,24.0,4.0,,0,0,89,5.0,13.0
11846746,1,2015,0.000,0.015,0.000,0.013,0.000,0.000,0.017,0.000,0.012,0.034,0.041,0.000,2,2,0.57042,1,1,1,50.0,28.0,5.0,,0,0,77,17.0,9.0
11846946,1,2015,0.000,0.000,0.000,0.010,0.013,0.010,0.000,0.019,0.000,0.037,0.000,0.000,3,1,0.43534,1,1,1,70.0,27.0,8.0,,0,0,87,65.0,63.0
11846993,1,2015,0.046,0.092,0.020,0.071,0.048,0.059,0.031,0.012,0.127,0.038,0.062,0.123,3,1,0.54950,1,1,1,70.0,39.0,6.0,,0,0,85,56.0,86.0
11847186,1,2015,0.012,0.040,0.046,0.015,0.010,0.008,0.012,0.027,0.066,0.024,0.000,0.080,3,1,0.62195,1,1,0,70.0,23.0,2.0,,0,0,0,0.0,78.0
11847197,1,2015,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,2,0.40385,1,1,0,60.0,35.0,3.0,,0,0,0,83.0,88.0
11847349,1,2015,0.000,0.000,0.000,0.000,0.010,0.044,0.000,0.008,0.000,0.049,0.057,0.020,3,1,0.59804,1,1,1,70.0,34.0,3.0,,0,0,78,0.0,20.0
11847375,1,2015,0.018,0.032,0.042,0.000,0.023,0.000,0.018,0.024,0.065,0.022,0.027,0.074,3,1,0.31982,1,1,1,80.0,32.0,8.0,,0,0,90,85.0,91.0
11847377,1,2015,0.000,0.000,0.018,0.020,0.039,0.034,0.014,0.019,0.028,0.023,0.009,0.042,2,2,0.53289,1,1,1,50.0,31.0,4.0,,0,0,79,2.0,7.0
11847684,1,2015,0.056,0.029,0.035,0.077,0.036,0.085,0.027,0.062,0.082,0.042,0.043,0.120,3,1,0.69802,1,1,1,50.0,26.0,4.0,,0,0,76,36.0,25.0
11847784,1,2015,0.019,0.034,0.009,0.012,0.000,0.008,0.000,0.000,0.000,0.040,0.077,0.033,3,2,0.46212,1,1,1,50.0,33.0,5.0,,0,0,81,53.0,41.0
11847954,1,2015,0.015,0.068,0.031,0.024,0.032,0.026,0.021,0.014,0.108,0.035,0.108,0.146,4,1,0.34733,1,1,1,70.0,27.0,3.0,,0,0,72,8.0,8.0
11848183,1,2015,0.042,0.027,0.000,0.072,0.010,0.065,0.029,0.010,0.032,0.019,0.057,0.033,3,1,0.65411,1,1,1,70.0,30.0,4.0,,0,0,91,34.0,62.0
11848224,1,2015,0.038,0.044,0.074,0.010,0.030,0.010,0.000,0.000,0.156,0.000,0.034,0.059,3,2,0.34733,1,1,1,80.0,38.0,7.0,,0,0,81,31.0,33.0
11848280,1,2015,0.030,0.151,0.135,0.049,0.024,0.035,0.021,0.026,0.208,0.087,0.089,0.331,3,1,0.55137,1,1,1,70.0,34.0,5.0,,0,0,77,41.0,45.0
11848448,1,2015,0.047,0.020,0.024,0.000,0.018,0.014,0.012,0.000,0.040,0.011,0.024,0.018,2,2,0.47093,1,1,1,50.0,29.0,6.0,,0,0,80,50.0,62.0
11848478,1,2015,0.043,0.113,0.048,0.025,0.042,0.012,0.024,0.000,0.242,0.048,0.000,0.186,3,1,0.64851,1,1,1,50.0,32.0,5.0,,0,0,77,,0.0
11848573,1,2015,0.016,0.086,0.009,0.012,0.009,0.008,0.000,0.000,0.038,0.045,0.151,0.048,3,2,0.38636,1,1,1,60.0,32.0,4.0,,0,0,81,70.0,
11848603,0,2015,0.077,0.107,0.079,0.070,0.051,0.019,0.022,0.055,0.213,0.065,0.068,0.228,3,2,0.40066,1,1,1,40.0,,6.0,,0,0,84,64.0,73.0
11848640,1,2015,0.011,0.029,0.000,0.012,0.019,0.008,0.000,0.008,0.018,0.009,0.055,0.068,2,2,0.57042,1,1,1,60.0,28.0,6.0,,0,0,89,10.0,71.0
11848680,1,2015,0.000,0.011,0.000,0.000,0.042,0.008,0.007,0.019,0.025,0.009,0.073,0.035,2,2,0.56466,1,1,1,80.0,27.0,5.0,,0,0,81,,
11848792,1,2015,0.025,0.018,0.011,0.072,0.019,0.010,0.022,0.000,0.000,0.019,0.031,0.033,1,1,0.90094,1,1,1,70.0,29.0,5.0,,0,0,87,4.0,50.0
11849062,1,2015,0.025,0.000,0.053,0.028,0.017,0.039,0.030,0.051,0.014,0.022,0.034,0.029,3,2,0.44485,1,1,1,60.0,33.0,2.0,,0,0,87,42.0,84.0
11849160,1,2015,0.050,0.109,0.032,0.012,0.042,0.016,0.021,0.054,0.092,0.042,0.129,0.077,2,1,0.69802,1,1,1,60.0,26.0,6.0,,0,0,77,9.0,
11850431,1,2015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,2,0.34375,1,1,1,70.0,30.0,2.0,,0,0,86,38.0,64.0
11850554,1,2015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,0.50000,1,1,1,70.0,28.0,4.0,,0,0,78,0.0,0.0
11850582,1,2015,0.059,0.056,0.024,0.055,0.030,0.010,0.022,0.014,0.074,0.032,0.032,0.024,2,2,0.42925,1,1,1,80.0,26.0,6.0,,0,0,84,35.0,72.0
11850821,1,2015,0.032,0.018,0.000,0.052,0.024,0.035,0.012,0.000,0.014,0.023,0.069,0.044,3,1,0.57634,1,1,1,60.0,35.0,5.0,,0,0,83,39.0,31.0
11851222,1,2015,0.045,0.034,0.020,0.031,0.030,0.010,0.010,0.000,0.103,0.112,0.009,0.064,2,2,0.65086,1,1,1,70.0,28.0,3.0,,0,0,80,30.0,18.0
11851392,1,2015,0.023,0.020,0.000,0.024,0.024,0.035,0.000,0.012,0.055,0.008,0.038,0.065,4,2,0.35149,1,1,1,60.0,39.0,5.0,,0,0,85,90.0,82.0
11851661,1,2015,0.031,0.044,0.024,0.000,0.055,0.000,0.025,0.025,0.148,0.009,0.018,0.125,3,1,0.57812,1,1,1,50.0,28.0,3.0,,0,0,84,70.0,50.0
11851714,1,2015,0.034,0.041,0.024,0.025,0.009,0.055,0.027,0.017,0.000,0.008,0.090,0.018,2,1,0.59868,1,1,1,80.0,33.0,5.0,,0,0,89,,
11851775,1,2015,0.012,0.042,0.060,0.037,0.034,0.033,0.000,0.019,0.053,0.007,0.056,0.073,2,2,0.57075,1,1,1,60.0,33.0,5.0,,0,0,81,5.0,14.0
11851784,1,2015,0.024,0.028,0.009,0.010,0.016,0.017,0.000,0.011,0.043,0.018,0.087,0.039,2,1,0.47093,1,1,1,70.0,34.0,4.0,,0,0,82,19.0,3.0
11851914,0,2015,0.060,0.037,0.059,0.027,0.009,0.021,0.030,0.060,0.019,0.013,0.028,0.029,2,1,0.59191,1,1,1,70.0,,5.0,,0,0,85,64.0,
11852107,1,2015,0.000,0.000,0.101,0.000,0.000,0.000,0.014,0.000,0.000,0.008,0.000,0.000,3,1,0.35577,1,1,1,90.0,29.0,3.0,,0,0,72,,22.0
11852209,1,2015,0.032,0.060,0.103,0.027,0.027,0.000,0.057,0.031,0.054,0.061,0.110,0.105,4,1,0.36486,1,1,1,40.0,30.0,4.0,,0,0,91,5.0,19.0
11852264,1,2015,0.000,0.011,0.024,0.015,0.008,0.000,0.000,0.000,0.020,0.000,0.012,0.018,2,2,0.45495,1,1,1,70.0,28.0,3.0,,0,0,81,5.0,
11852298,1,2015,0.036,0.022,0.011,0.051,0.046,0.044,0.026,0.000,0.102,0.048,0.000,0.061,3,1,0.51984,1,1,1,80.0,37.0,4.0,,0,0,87,73.0,93.0
11852371,1,2015,0.033,0.052,0.072,0.058,0.029,0.010,0.010,0.008,0.027,0.041,0.086,0.122,3,2,0.40132,1,1,1,60.0,34.0,5.0,,0,0,80,44.0,20.0
11852484,1,2015,0.000,0.019,0.000,0.010,0.010,0.010,0.012,0.008,0.020,0.011,0.000,0.000,2,2,0.47642,1,1,1,80.0,34.0,6.0,,0,0,78,65.0,56.0
11852499,1,2015,0.047,0.084,0.054,0.062,0.041,0.053,0.028,0.000,0.175,0.079,0.012,0.143,2,2,0.47396,1,1,1,70.0,32.0,4.0,,0,0,82,50.0,30.0
11852509,1,2015,0.009,0.065,0.060,0.000,0.009,0.000,0.032,0.017,0.016,0.016,0.009,0.018,3,1,0.55495,1,1,1,70.0,28.0,5.0,,0,0,81,53.0,63.0
11852646,1,2015,0.000,0.018,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.010,0.031,0.033,3,1,0.46212,1,1,1,70.0,34.0,7.0,,0,0,86,71.0,
11852860,1,2015,0.015,0.071,0.068,0.012,0.094,0.009,0.072,0.022,0.143,0.112,0.040,0.059,2,1,0.51984,1,1,1,60.0,25.0,4.0,,0,0,76,7.0,
11852920,1,2015,0.039,0.011,0.000,0.024,0.017,0.051,0.008,0.000,0.046,0.020,0.055,0.036,2,2,0.59901,1,1,1,60.0,31.0,5.0,,0,0,84,,16.0
11852936,1,2015,0.012,0.042,0.070,0.015,0.028,0.008,0.009,0.035,0.066,0.031,0.030,0.138,4,1,0.54950,1,1,1,70.0,29.0,2.0,,0,0,72,52.0,35.0
11853074,1,2015,0.000,0.071,0.090,0.020,0.016,0.027,0.000,0.012,0.157,0.048,0.030,0.233,3,1,0.46711,1,1,1,50.0,35.0,5.0,,0,0,77,,4.0
11853098,1,2015,0.011,0.022,0.000,0.026,0.019,0.057,0.009,0.000,0.088,0.007,0.000,0.035,4,1,0.41279,1,1,1,50.0,26.0,4.0,,0,0,89,,40.0
11853407,1,2015,0.069,0.075,0.064,0.061,0.030,0.026,0.010,0.038,0.160,0.030,0.009,0.097,2,2,0.54132,1,1,1,80.0,30.0,6.0,,0,1,91,85.0,79.0
11853568,1,2015,0.074,0.073,0.072,0.090,0.038,0.047,0.030,0.043,0.163,0.065,0.035,0.188,3,1,0.55495,1,1,1,60.0,29.0,6.0,,0,0,84,,13.0
11853662,1,2015,0.012,0.013,0.022,0.033,0.000,0.034,0.000,0.019,0.019,0.016,0.020,0.011,3,1,0.50000,1,1,1,60.0,35.0,5.0,,0,0,89,67.0,65.0
11853733,1,2015,0.016,0.000,0.000,0.020,0.007,0.010,0.000,0.007,0.000,0.000,0.000,0.000,1,1,0.76515,1,1,1,70.0,30.0,5.0,,0,0,79,,0.0
11853919,1,2015,0.000,0.018,0.024,0.024,0.011,0.010,0.000,0.000,0.027,0.013,0.000,0.069,3,1,0.57042,1,1,1,70.0,24.0,4.0,,0,0,78,59.0,30.0
11853931,1,2015,0.074,0.018,0.011,0.090,0.043,0.089,0.010,0.034,0.028,0.090,0.050,0.055,3,2,0.40809,1,1,1,70.0,31.0,6.0,,0,0,87,20.0,26.0
11854011,1,2015,0.020,0.056,0.057,0.000,0.027,0.000,0.000,0.000,0.143,0.011,0.033,0.088,4,1,0.35465,1,1,1,60.0,28.0,4.0,,0,0,77,,38.0
11854019,1,2015,0.011,0.028,0.000,0.061,0.036,0.034,0.028,0.019,0.072,0.034,0.041,0.042,3,1,0.47845,1,1,1,80.0,27.0,6.0,,0,0,88,23.0,7.0
11854344,1,2015,0.104,0.000,0.088,0.110,0.071,0.068,0.070,0.065,0.034,0.038,0.018,0.072,1,1,0.88462,1,1,1,50.0,34.0,5.0,,0,0,81,14.0,60.0
11854558,1,2015,0.020,0.040,0.083,0.015,0.010,0.008,0.000,0.035,0.046,0.022,0.009,0.100,4,0,0.29339,1,1,1,70.0,25.0,5.0,,0,0,86,19.0,29.0
11854642,1,2015,0.041,0.020,0.038,0.060,0.054,0.059,0.053,0.000,0.077,0.077,0.040,0.036,5,0,0.24315,1,1,1,80.0,27.0,5.0,,0,0,84,,35.0
11854655,1,2015,0.025,0.000,0.011,0.092,0.035,0.044,0.022,0.000,0.028,0.033,0.000,0.022,2,1,0.69802,1,1,1,60.0,27.0,4.0,,0,0,75,13.0,4.0
11855233,1,2015,0.035,0.048,0.000,0.021,0.000,0.009,0.012,0.000,0.000,0.008,0.148,0.000,2,1,0.69397,1,1,1,60.0,33.0,4.0,,0,0,79,62.0,59.0
11855343,1,2015,0.057,0.012,0.020,0.031,0.055,0.010,0.010,0.000,0.043,0.030,0.097,0.028,3,1,0.54132,1,1,1,70.0,30.0,4.0,,0,0,77,11.0,13.0
11855360,1,2015,0.041,0.000,0.011,0.058,0.027,0.010,0.018,0.000,0.012,0.019,0.025,0.000,4,1,0.33491,1,1,1,60.0,28.0,6.0,,0,1,91,10.0,14.0
11855479,0,2015,0.040,0.023,0.072,0.056,0.035,0.036,0.019,0.012,0.051,0.046,0.012,0.068,3,1,0.39224,1,1,1,40.0,,4.0,,0,0,79,35.0,67.0
11855589,1,2015,0.008,0.000,0.000,0.035,0.000,0.011,0.016,0.017,0.024,0.000,0.032,0.000,3,1,0.46212,1,1,1,70.0,33.0,7.0,,0,0,83,0.0,0.0
11855902,1,2015,0.030,0.050,0.018,0.030,0.000,0.018,0.000,0.024,0.034,0.016,0.000,0.030,3,1,0.33516,1,1,1,80.0,32.0,5.0,,0,0,90,,28.0
11855933,1,2015,0.011,0.079,0.052,0.010,0.052,0.041,0.009,0.000,0.173,0.018,0.051,0.149,3,2,0.40099,1,1,1,50.0,29.0,6.0,,0,0,77,12.0,7.0
11856382,1,2015,0.011,0.022,0.000,0.000,0.011,0.008,0.000,0.008,0.074,0.000,0.010,0.024,5,0,0.25309,1,1,1,80.0,29.0,5.0,,0,0,71,,12.0
11856438,1,2015,0.084,0.046,0.013,0.053,0.019,0.052,0.012,0.031,0.088,0.020,0.019,0.035,3,2,0.41279,1,1,1,60.0,24.0,3.0,,0,0,83,61.0,32.0
11856724,1,2015,0.000,0.000,0.009,0.062,0.000,0.096,0.027,0.000,0.000,0.010,0.000,0.000,1,1,0.94271,1,1,1,70.0,34.0,4.0,,0,0,88,21.0,27.0
11857157,0,2015,0.035,0.054,0.035,0.036,0.000,0.039,0.012,0.033,0.043,0.041,0.125,0.011,4,1,0.50000,1,1,1,60.0,,3.0,,0,0,86,11.0,14.0
11857845,1,2015,0.000,0.058,0.018,0.000,0.000,0.000,0.000,0.000,0.016,0.016,0.000,0.000,2,1,0.66129,1,1,0,40.0,27.0,,93.0,0,0,0,0.0,41.0
11919046,1,2015,0.000,0.000,0.000,0.009,0.000,0.009,0.000,0.000,0.000,0.008,0.010,0.000,3,2,0.37805,1,1,1,40.0,26.0,5.0,,0,1,85,21.0,0.0
11922435,1,2015,0.049,0.000,0.011,0.071,0.019,0.019,0.018,0.012,0.021,0.019,0.016,0.015,2,1,0.66304,1,1,1,90.0,25.0,5.0,,0,0,87,12.0,73.0
11922857,1,2015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3,1,0.59804,1,1,1,60.0,34.0,4.0,,0,0,85,59.0,50.0
11928262,1,2015,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.007,0.000,0.024,0.000,2,1,0.56944,1,1,1,60.0,32.0,,94.0,0,0,86,5.0,3.0
11934798,1,2015,0.012,0.031,0.046,0.015,0.000,0.008,0.000,0.019,0.046,0.013,0.012,0.080,5,1,0.44565,1,1,1,50.0,32.0,,93.0,0,0,86,5.0,22.0
11935092,1,2015,0.103,0.030,0.055,0.097,0.053,0.059,0.020,0.012,0.081,0.070,0.029,0.147,2,1,0.53817,1,1,1,60.0,27.0,5.0,,0,0,85,52.0,83.0
