B1,B2,B3,B4,B5,dapar,tzadak,mavdak1,mavdak2,rejected,nf,ne,socioT,socioP
248.0,269.0,186.0,117.0,190.0,60.0,26.0,,,0,0,0,38.0,38.0
235.0,266.0,237.0,135.0,215.0,70.0,31.0,,,0,0,0,72.0,65.0
256.0,278.0,205.0,108.0,165.0,60.0,28.0,,,0,0,0,29.0,48.0
302.0,284.0,203.0,102.0,202.0,70.0,33.0,,,0,0,0,27.0,78.0
229.0,232.0,215.0,155.0,211.0,50.0,32.0,,,0,0,0,,
289.0,285.0,249.0,96.0,246.0,80.0,25.0,,,0,0,0,60.0,93.0
247.0,291.0,268.0,135.0,253.0,80.0,36.0,,,0,0,0,29.0,56.0
289.0,284.0,266.0,86.0,201.0,80.0,27.0,,,0,0,0,69.0,99.0
230.0,231.0,254.0,140.0,207.0,70.0,29.0,,,0,0,0,48.0,0.0
241.0,286.0,237.0,117.0,223.0,60.0,32.0,,,0,0,0,53.0,25.0
245.0,240.0,228.0,156.0,244.0,70.0,26.0,,,0,0,0,38.0,69.0
289.0,285.0,298.0,98.0,261.0,50.0,33.0,,,0,0,0,23.0,
219.0,258.0,209.0,162.0,243.0,70.0,32.0,,,0,0,0,77.0,83.0
227.0,243.0,225.0,152.0,214.0,50.0,33.0,,,0,0,0,57.0,63.0
280.0,279.0,266.0,84.0,228.0,80.0,34.0,,,0,0,0,48.0,
274.0,286.0,252.0,127.0,241.0,50.0,34.0,,,0,0,0,29.0,21.0
267.0,256.0,237.0,144.0,244.0,90.0,32.0,,,0,0,0,0.0,52.0
262.0,247.0,269.0,149.0,231.0,80.0,23.0,,,0,0,0,0.0,
274.0,275.0,211.0,107.0,244.0,60.0,24.0,,,0,0,0,8.0,46.0
222.0,253.0,260.0,110.0,209.0,70.0,31.0,,,0,0,0,88.0,88.0
259.0,280.0,210.0,111.0,213.0,90.0,26.0,,,0,0,0,24.0,0.0
251.0,243.0,217.0,131.0,255.0,90.0,33.0,,,0,0,0,,
261.0,286.0,226.0,96.0,222.0,50.0,36.0,,,0,0,0,,3.0
305.0,301.0,285.0,70.0,202.0,80.0,30.0,,,0,0,0,,50.0
254.0,273.0,264.0,125.0,232.0,50.0,28.0,,,0,0,0,,
246.0,295.0,268.0,136.0,286.0,70.0,31.0,,,0,0,0,56.0,
272.0,255.0,237.0,123.0,251.0,80.0,33.0,,,0,0,0,8.0,43.0
242.0,262.0,308.0,161.0,313.0,90.0,34.0,,,0,0,0,91.0,
212.0,207.0,243.0,167.0,227.0,70.0,25.0,,,0,0,0,,
218.0,282.0,205.0,116.0,232.0,70.0,25.0,,,0,0,0,96.0,50.0
262.0,257.0,227.0,137.0,210.0,70.0,28.0,,,0,0,0,57.0,46.0
267.0,261.0,217.0,114.0,234.0,90.0,20.0,,,0,0,0,,13.0
261.0,274.0,287.0,132.0,210.0,80.0,29.0,,,0,0,0,0.0,16.0
236.0,231.0,226.0,177.0,194.0,90.0,32.0,,,0,0,0,23.0,32.0
280.0,277.0,306.0,66.0,307.0,60.0,28.0,,,0,0,0,,
261.0,286.0,224.0,142.0,225.0,70.0,31.0,,,0,0,0,60.0,86.0
291.0,265.0,215.0,143.0,223.0,70.0,35.0,,,0,0,0,25.0,64.0
242.0,224.0,234.0,162.0,239.0,60.0,26.0,,,0,0,0,73.0,72.0
244.0,236.0,249.0,106.0,226.0,70.0,28.0,,,0,0,0,26.0,
273.0,283.0,213.0,74.0,199.0,70.0,29.0,,,0,0,0,30.0,81.0
268.0,228.0,224.0,143.0,254.0,80.0,25.0,,,0,0,0,18.0,
259.0,229.0,252.0,122.0,255.0,80.0,27.0,,,0,0,0,25.0,52.0
272.0,266.0,185.0,168.0,224.0,70.0,32.0,,,0,0,0,92.0,86.0
238.0,248.0,235.0,126.0,225.0,50.0,35.0,,,0,0,0,,6.0
270.0,253.0,274.0,132.0,211.0,50.0,26.0,,,0,0,0,12.0,0.0
262.0,214.0,243.0,123.0,238.0,50.0,,,,0,0,0,,0.0
272.0,250.0,254.0,160.0,211.0,70.0,,,,0,0,0,0.0,0.0
264.0,274.0,241.0,218.0,233.0,60.0,26.0,,,0,0,0,7.0,19.0
228.0,248.0,245.0,136.0,238.0,60.0,28.0,,,0,0,0,3.0,
260.0,270.0,232.0,132.0,248.0,70.0,27.0,5.0,,0,0,0,50.0,
273.0,291.0,273.0,80.0,224.0,80.0,35.0,,,0,0,0,38.0,46.0
263.0,291.0,247.0,100.0,234.0,60.0,31.0,,,0,0,0,25.0,56.0
257.0,269.0,220.0,148.0,249.0,80.0,24.0,,,0,0,0,4.0,53.0
231.0,223.0,221.0,159.0,212.0,60.0,,,,0,0,0,40.0,
272.0,260.0,236.0,127.0,220.0,60.0,,,,0,0,0,,14.0
284.0,303.0,243.0,58.0,289.0,60.0,32.0,,,0,0,0,,
224.0,242.0,233.0,162.0,202.0,90.0,25.0,,,1,0,0,46.0,22.0
269.0,269.0,254.0,122.0,216.0,60.0,27.0,,,0,0,0,,47.0
234.0,249.0,206.0,145.0,223.0,40.0,25.0,,,0,0,0,19.0,19.0
260.0,266.0,256.0,106.0,253.0,50.0,20.0,,,0,0,0,,56.0
239.0,252.0,236.0,194.0,221.0,30.0,23.0,,,0,0,0,68.0,64.0
279.0,228.0,266.0,108.0,204.0,80.0,39.0,,,0,0,0,10.0,0.0
257.0,256.0,248.0,98.0,206.0,60.0,27.0,,,0,0,0,,72.0
275.0,294.0,261.0,118.0,233.0,70.0,29.0,,,0,0,0,,
267.0,286.0,262.0,108.0,229.0,60.0,,,,0,0,0,0.0,
239.0,282.0,296.0,159.0,256.0,50.0,,,,0,0,0,11.0,
248.0,270.0,220.0,138.0,224.0,90.0,26.0,,,0,0,0,48.0,0.0
231.0,249.0,237.0,182.0,230.0,60.0,26.0,,,0,0,0,67.0,
262.0,241.0,201.0,171.0,285.0,80.0,32.0,,,0,0,0,64.0,45.0
290.0,275.0,317.0,75.0,285.0,60.0,33.0,,,0,0,0,,32.0
259.0,257.0,250.0,116.0,235.0,60.0,24.0,,,0,0,0,,
218.0,262.0,219.0,159.0,229.0,60.0,28.0,,,0,0,0,38.0,50.0
235.0,238.0,263.0,244.0,147.0,80.0,,,,0,0,0,44.0,
291.0,231.0,195.0,155.0,240.0,70.0,31.0,,,0,0,0,,24.0
215.0,210.0,239.0,133.0,209.0,70.0,26.0,,,0,0,0,12.0,
274.0,278.0,266.0,122.0,256.0,80.0,34.0,,,0,0,0,,45.0
256.0,224.0,251.0,163.0,207.0,50.0,,,,0,0,0,42.0,
270.0,260.0,261.0,116.0,272.0,70.0,32.0,,,0,0,0,,
298.0,284.0,301.0,111.0,243.0,60.0,,,,0,0,0,56.0,
237.0,298.0,264.0,132.0,250.0,70.0,26.0,,,0,0,0,12.0,14.0
250.0,245.0,250.0,141.0,258.0,80.0,,,,0,0,0,70.0,
217.0,259.0,237.0,147.0,208.0,80.0,28.0,,,0,0,0,25.0,
220.0,257.0,260.0,140.0,226.0,60.0,28.0,,,0,0,0,,
242.0,224.0,216.0,147.0,228.0,90.0,26.0,,,0,0,0,25.0,0.0
225.0,262.0,250.0,119.0,257.0,80.0,39.0,,,0,0,0,36.0,54.0
263.0,291.0,261.0,109.0,231.0,50.0,36.0,,,0,0,0,0.0,
252.0,267.0,241.0,95.0,226.0,50.0,34.0,,,0,0,0,55.0,
253.0,246.0,189.0,151.0,257.0,70.0,24.0,,,0,0,0,0.0,70.0
241.0,231.0,249.0,103.0,241.0,70.0,26.0,,,0,0,0,,62.0
290.0,300.0,288.0,70.0,275.0,90.0,25.0,,,0,0,0,61.0,32.0
276.0,273.0,212.0,124.0,257.0,80.0,33.0,,,0,0,0,26.0,
229.0,235.0,245.0,127.0,198.0,90.0,32.0,,,0,0,0,5.0,
241.0,245.0,246.0,142.0,199.0,60.0,28.0,,,0,0,0,,10.0
256.0,249.0,228.0,143.0,265.0,90.0,25.0,,,0,0,0,28.0,
253.0,278.0,290.0,78.0,269.0,60.0,35.0,,,0,0,0,72.0,58.0
286.0,309.0,292.0,62.0,259.0,70.0,40.0,,,0,0,0,4.0,27.0
258.0,249.0,206.0,135.0,195.0,60.0,26.0,,,0,0,0,,52.0
216.0,255.0,279.0,119.0,203.0,50.0,,,,0,0,0,32.0,30.0
244.0,251.0,228.0,128.0,231.0,70.0,24.0,,,0,0,0,23.0,
266.0,246.0,191.0,145.0,194.0,60.0,35.0,,,0,0,0,44.0,74.0
253.0,276.0,280.0,104.0,218.0,60.0,30.0,,,0,0,0,13.0,
260.0,282.0,194.0,138.0,202.0,70.0,,,,0,0,0,54.0,
190.0,226.0,237.0,165.0,237.0,90.0,28.0,,,0,0,0,51.0,19.0
257.0,248.0,220.0,119.0,201.0,80.0,25.0,,,0,0,0,48.0,50.0
217.0,225.0,199.0,149.0,196.0,70.0,28.0,,,0,0,0,18.0,
226.0,276.0,207.0,134.0,238.0,90.0,26.0,,,0,0,0,13.0,
276.0,307.0,234.0,93.0,168.0,60.0,26.0,,,0,0,0,25.0,18.0
224.0,264.0,263.0,113.0,201.0,90.0,25.0,,,0,0,0,21.0,
252.0,241.0,234.0,116.0,206.0,60.0,26.0,,,0,0,0,,50.0
272.0,272.0,262.0,83.0,220.0,50.0,31.0,,,0,0,0,66.0,
275.0,274.0,183.0,196.0,289.0,80.0,25.0,,,0,0,0,13.0,
268.0,281.0,294.0,85.0,280.0,70.0,30.0,,,0,0,0,37.0,
269.0,285.0,275.0,107.0,288.0,60.0,32.0,,,0,0,0,0.0,
198.0,293.0,244.0,97.0,226.0,50.0,36.0,,,0,0,0,33.0,20.0
252.0,303.0,260.0,80.0,212.0,80.0,31.0,,,0,0,0,0.0,
283.0,281.0,299.0,81.0,246.0,70.0,25.0,,,0,0,0,,
281.0,276.0,295.0,87.0,267.0,70.0,30.0,,,0,0,0,0.0,4.0
266.0,299.0,304.0,98.0,289.0,80.0,36.0,,,0,0,0,71.0,29.0
225.0,270.0,257.0,130.0,199.0,80.0,31.0,,,0,0,0,8.0,
250.0,263.0,245.0,84.0,179.0,50.0,28.0,,,0,0,0,63.0,
239.0,234.0,270.0,89.0,230.0,80.0,30.0,,,0,0,1,,0.0
254.0,262.0,231.0,145.0,249.0,60.0,25.0,,,0,0,0,51.0,75.0
270.0,297.0,253.0,112.0,264.0,30.0,,,,0,0,0,41.0,28.0
262.0,267.0,276.0,102.0,227.0,60.0,31.0,,,0,0,0,53.0,82.0
276.0,245.0,227.0,128.0,229.0,60.0,34.0,,,0,0,0,26.0,57.0
259.0,274.0,267.0,79.0,232.0,70.0,31.0,,,0,0,0,3.0,18.0
262.0,221.0,225.0,147.0,194.0,40.0,29.0,,,0,0,0,7.0,10.0
259.0,293.0,275.0,103.0,253.0,40.0,28.0,,,0,0,0,5.0,6.0
244.0,217.0,263.0,126.0,236.0,80.0,24.0,,,0,0,0,57.0,
273.0,264.0,245.0,129.0,216.0,70.0,32.0,,,0,0,0,56.0,
258.0,255.0,245.0,120.0,192.0,90.0,26.0,,,0,0,0,50.0,56.0
243.0,248.0,226.0,150.0,208.0,70.0,24.0,,,0,0,0,38.0,38.0
263.0,272.0,230.0,102.0,248.0,80.0,28.0,,,1,0,0,21.0,31.0
283.0,274.0,225.0,131.0,209.0,70.0,29.0,,,0,0,0,7.0,
242.0,301.0,274.0,101.0,239.0,60.0,31.0,,,0,0,0,41.0,
240.0,323.0,263.0,108.0,255.0,80.0,25.0,,,0,1,0,,24.0
226.0,277.0,275.0,125.0,175.0,50.0,26.0,,,0,0,0,3.0,47.0
297.0,276.0,255.0,106.0,236.0,50.0,31.0,,,0,0,0,4.0,0.0
250.0,257.0,208.0,128.0,201.0,80.0,25.0,,,0,0,0,,30.0
279.0,303.0,273.0,101.0,207.0,40.0,27.0,,,0,0,0,,0.0
229.0,225.0,239.0,166.0,231.0,60.0,25.0,,,0,0,0,11.0,88.0
267.0,290.0,277.0,89.0,232.0,70.0,30.0,,,0,0,0,6.0,3.0
281.0,284.0,239.0,108.0,245.0,80.0,32.0,,,0,0,0,72.0,58.0
245.0,264.0,282.0,101.0,261.0,70.0,27.0,,,0,0,0,0.0,0.0
244.0,238.0,235.0,140.0,193.0,70.0,32.0,,,0,0,0,60.0,
224.0,266.0,275.0,99.0,201.0,90.0,33.0,,,0,0,0,7.0,46.0
259.0,284.0,242.0,113.0,191.0,70.0,31.0,,,0,0,0,88.0,97.0
270.0,277.0,260.0,109.0,259.0,70.0,28.0,,,0,0,0,,61.0
220.0,241.0,257.0,167.0,219.0,70.0,27.0,,,0,0,0,6.0,
260.0,247.0,251.0,159.0,274.0,60.0,26.0,,,0,0,1,0.0,
250.0,248.0,238.0,130.0,223.0,90.0,27.0,,,0,0,0,,55.0
262.0,288.0,269.0,190.0,230.0,40.0,18.0,,,0,0,0,31.0,22.0
228.0,232.0,223.0,143.0,222.0,70.0,30.0,,,0,0,0,0.0,0.0
270.0,304.0,259.0,114.0,262.0,50.0,33.0,,,0,0,0,54.0,6.0
252.0,261.0,199.0,128.0,236.0,60.0,25.0,,,0,0,0,10.0,43.0
240.0,247.0,247.0,147.0,237.0,50.0,26.0,,,0,0,0,,21.0
260.0,297.0,263.0,87.0,197.0,70.0,36.0,,,0,0,0,60.0,
212.0,251.0,276.0,114.0,248.0,60.0,25.0,,,0,0,0,36.0,43.0
254.0,265.0,242.0,113.0,221.0,70.0,32.0,,,0,0,0,33.0,57.0
281.0,280.0,254.0,128.0,233.0,60.0,26.0,,,0,0,1,21.0,
306.0,291.0,237.0,111.0,208.0,70.0,32.0,,,0,0,0,,70.0
271.0,314.0,206.0,135.0,264.0,80.0,26.0,,,1,0,0,33.0,43.0
244.0,247.0,247.0,125.0,172.0,50.0,33.0,,,0,0,0,82.0,
196.0,215.0,261.0,153.0,203.0,90.0,25.0,,,0,0,0,0.0,4.0
224.0,226.0,223.0,156.0,201.0,60.0,26.0,,,0,0,0,27.0,57.0
240.0,274.0,273.0,147.0,236.0,70.0,26.0,,,0,0,0,0.0,
279.0,273.0,283.0,78.0,281.0,60.0,27.0,,,0,0,0,26.0,
274.0,292.0,264.0,85.0,225.0,50.0,28.0,,,0,0,0,,
245.0,234.0,255.0,116.0,225.0,80.0,29.0,,,0,0,0,,32.0
289.0,279.0,239.0,101.0,180.0,60.0,31.0,,,0,0,0,14.0,
237.0,305.0,251.0,71.0,221.0,70.0,25.0,,,0,0,0,23.0,64.0
271.0,242.0,227.0,165.0,208.0,50.0,26.0,,,0,0,0,69.0,61.0
255.0,267.0,223.0,116.0,244.0,80.0,29.0,,,0,0,0,28.0,54.0
267.0,280.0,212.0,107.0,237.0,80.0,31.0,,,0,0,0,97.0,
239.0,269.0,226.0,139.0,263.0,70.0,27.0,,,0,0,0,27.0,
258.0,250.0,261.0,93.0,255.0,80.0,33.0,,,0,0,0,14.0,0.0
259.0,307.0,300.0,56.0,284.0,70.0,27.0,,,0,0,0,77.0,99.0
271.0,240.0,214.0,162.0,216.0,50.0,26.0,,,0,0,0,46.0,22.0
219.0,248.0,232.0,147.0,218.0,90.0,27.0,,,0,0,0,27.0,
267.0,296.0,234.0,74.0,237.0,90.0,32.0,,,0,0,0,,30.0
248.0,286.0,233.0,141.0,219.0,40.0,27.0,,,0,0,1,17.0,63.0
269.0,263.0,231.0,173.0,257.0,60.0,26.0,,,0,0,0,45.0,51.0
306.0,231.0,265.0,107.0,284.0,50.0,39.0,,,0,0,0,0.0,21.0
235.0,254.0,224.0,134.0,202.0,60.0,25.0,,,0,0,0,38.0,37.0
283.0,257.0,215.0,129.0,219.0,60.0,35.0,,,0,0,0,,
267.0,257.0,223.0,131.0,222.0,70.0,26.0,,,0,0,0,21.0,51.0
271.0,256.0,237.0,120.0,221.0,60.0,26.0,,,0,0,0,,45.0
302.0,304.0,246.0,82.0,287.0,80.0,30.0,,,0,0,0,,49.0
237.0,204.0,241.0,155.0,249.0,90.0,26.0,,,0,0,0,,37.0
257.0,266.0,209.0,122.0,207.0,50.0,,,,0,0,0,71.0,50.0
256.0,260.0,236.0,113.0,204.0,70.0,28.0,,,0,1,0,39.0,19.0
227.0,252.0,264.0,137.0,229.0,90.0,35.0,,,0,0,0,46.0,
235.0,259.0,209.0,142.0,212.0,60.0,26.0,,,0,0,0,67.0,
287.0,286.0,230.0,81.0,212.0,50.0,27.0,,,0,0,0,54.0,60.0
226.0,257.0,247.0,161.0,227.0,60.0,26.0,,,0,0,0,46.0,56.0
245.0,276.0,202.0,152.0,205.0,60.0,26.0,,,0,0,0,9.0,52.0
238.0,269.0,208.0,130.0,153.0,60.0,24.0,,,0,0,0,58.0,22.0
287.0,260.0,259.0,186.0,266.0,40.0,27.0,,,0,0,0,62.0,62.0
252.0,242.0,287.0,203.0,268.0,70.0,30.0,,,0,0,0,99.0,55.0
267.0,280.0,240.0,102.0,218.0,70.0,28.0,,,0,0,0,38.0,67.0
211.0,282.0,249.0,142.0,206.0,50.0,22.0,,,0,0,0,22.0,86.0
291.0,286.0,246.0,93.0,230.0,40.0,24.0,,,0,0,0,17.0,21.0
232.0,262.0,284.0,104.0,210.0,90.0,22.0,,,0,0,0,41.0,80.0
234.0,311.0,229.0,85.0,240.0,40.0,31.0,,,0,0,0,,36.0
246.0,252.0,241.0,136.0,213.0,60.0,30.0,,,0,0,0,0.0,
248.0,300.0,245.0,118.0,255.0,40.0,26.0,,,0,0,0,57.0,87.0
277.0,305.0,310.0,59.0,277.0,90.0,28.0,,,0,0,0,37.0,
243.0,257.0,221.0,203.0,228.0,90.0,26.0,,,0,0,0,,77.0
265.0,278.0,298.0,118.0,254.0,50.0,26.0,,,0,0,1,24.0,13.0
254.0,270.0,246.0,94.0,211.0,90.0,34.0,,,0,0,0,18.0,
265.0,220.0,232.0,104.0,240.0,90.0,33.0,,,0,0,0,25.0,25.0
248.0,259.0,264.0,109.0,199.0,60.0,32.0,,,0,0,0,,
268.0,263.0,238.0,133.0,240.0,60.0,,,,0,0,0,8.0,
244.0,264.0,265.0,129.0,250.0,60.0,32.0,,,0,0,0,,
216.0,224.0,262.0,145.0,180.0,60.0,,,,0,0,0,25.0,
209.0,212.0,272.0,146.0,202.0,70.0,28.0,,,0,0,0,0.0,
257.0,262.0,276.0,100.0,226.0,80.0,,,,0,0,0,65.0,6.0
243.0,258.0,270.0,163.0,223.0,60.0,25.0,,,0,0,0,29.0,
240.0,267.0,243.0,127.0,205.0,50.0,26.0,,,0,0,0,,
259.0,287.0,234.0,95.0,233.0,70.0,32.0,,,0,0,0,0.0,54.0
285.0,236.0,277.0,115.0,241.0,50.0,,,,0,0,1,48.0,
236.0,233.0,238.0,139.0,169.0,50.0,28.0,,,0,0,0,0.0,27.0
244.0,226.0,256.0,176.0,189.0,50.0,26.0,,,0,0,0,16.0,0.0
