id,gender,char_g, char_t,year,t0F,t1F,t2F,t3F,t4F,t5F,t6F,t7F,t8F,t9F,t0V,t1V,t2V,t3V,t4V,t5V,t6V,t7V,t8V,t9V,t0L,t1L,t2L,t3L,t4L,t5L,t6L,t7L,t8L,t9L,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD,WORDS_N,UNIQUE_R,Close_type
11842833,1,1,2,2015,0,0,0,0,0,1,0,0,0,0,0.00667,0.07333,0.00667,0.00667,0.20667,0.34000,0.00667,0.00667,0.20667,0.14000,0,5,0,0,7,9,0,0,7,6,1,1,1,60.0,30.0,4.0,,0,0,74,36.0,57.0,28,0.9643,0
11842876,1,1,2,2015,0,0,0,1,0,1,0,0,0,0,0.00435,0.17826,0.00435,0.35217,0.00435,0.35217,0.00435,0.00435,0.09130,0.00435,0,7,0,8,0,8,0,0,6,0,1,1,1,90.0,30.0,4.0,,0,0,82,,54.0,34,0.9118,0
11842885,1,1,2,2015,0,1,0,0,0,0,0,0,0,0,0.00435,0.56957,0.26522,0.00435,0.00435,0.00435,0.13478,0.00435,0.00435,0.00435,0,9,8,0,0,0,7,0,0,0,1,1,1,80.0,27.0,6.0,,0,0,84,87.0,31.0,50,0.8200,0
11842961,1,1,2,2015,0,1,0,0,0,0,0,0,0,0,0.14762,0.57619,0.19524,0.00476,0.00476,0.05238,0.00476,0.00476,0.00476,0.00476,7,9,8,0,0,6,0,0,0,0,1,1,1,90.0,32.0,6.0,,0,0,87,56.0,,49,0.8980,0
11843021,1,1,4,2015,0,0,0,0,0,1,0,0,0,0,0.00625,0.00625,0.25625,0.00625,0.00625,0.56875,0.00625,0.00625,0.00625,0.13125,0,0,8,0,0,9,0,0,0,7,1,1,1,60.0,28.0,4.0,,0,0,90,0.0,0.0,23,0.9565,0
11843134,1,1,2,2015,0,0,0,0,0,1,0,0,0,0,0.00714,0.00714,0.07857,0.00714,0.22143,0.50714,0.07857,0.00714,0.00714,0.07857,0,0,5,0,8,9,5,0,0,5,1,1,1,50.0,27.0,3.0,,0,0,79,24.0,,29,0.9310,0
11843187,1,1,2,2015,0,0,0,0,0,1,0,0,0,0,0.00370,0.00370,0.00370,0.00370,0.00370,0.55926,0.00370,0.22593,0.18889,0.00370,0,0,0,0,0,9,0,8,7,0,1,1,1,50.0,33.0,3.0,,0,0,80,,30.0,51,0.8627,0
11843550,1,1,2,2015,0,0,0,1,0,0,0,0,0,1,0.00526,0.00526,0.00526,0.42632,0.11053,0.00526,0.00526,0.00526,0.00526,0.42632,0,0,0,8,7,0,0,0,0,8,1,1,1,60.0,29.0,4.0,,0,0,84,75.0,93.0,47,0.8723,0
11843567,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0.00588,0.00588,0.77059,0.00588,0.00588,0.12353,0.00588,0.00588,0.06471,0.00588,0,0,9,0,0,8,0,0,7,0,1,1,1,60.0,34.0,5.0,,0,0,81,68.0,61.0,24,1.0000,3
11843642,1,1,1,2015,0,0,0,0,0,0,0,0,1,0,0.00357,0.00357,0.36071,0.00357,0.00357,0.00357,0.00357,0.21786,0.39643,0.00357,0,0,8,0,0,0,0,7,9,0,1,1,1,70.0,27.0,6.0,,0,0,77,26.0,,48,0.8542,5
11843694,1,0,2,2015,0,0,0,0,0,0,1,0,0,0,0.00435,0.00435,0.17826,0.00435,0.00435,0.00435,0.43913,0.35217,0.00435,0.00435,0,0,7,0,0,0,9,8,0,0,1,1,1,50.0,26.0,4.0,,0,0,74,48.0,36.0,45,0.9111,0
11843713,1,1,3,2015,0,0,1,0,0,0,0,0,0,0,0.05000,0.00455,0.68636,0.00455,0.00455,0.00455,0.23182,0.00455,0.00455,0.00455,7,0,9,0,0,0,8,0,0,0,1,1,1,70.0,29.0,4.0,,0,0,92,13.0,7.0,46,0.8261,0
11843836,1,1,4,2015,0,0,1,0,0,0,0,0,0,0,0.00435,0.00435,0.48261,0.00435,0.35217,0.13478,0.00435,0.00435,0.00435,0.00435,0,0,9,0,8,7,0,0,0,0,1,1,1,80.0,20.0,5.0,,0,0,66,20.0,9.0,42,0.9762,0
11844461,1,1,2,2015,0,1,0,0,0,0,0,0,0,0,0.01250,0.63750,0.01250,0.01250,0.01250,0.01250,0.01250,0.01250,0.01250,0.26250,0,9,0,0,0,0,0,0,0,8,1,1,1,60.0,28.0,7.0,,0,1,92,,5.0,18,1.0000,0
11844527,1,1,1,2015,0,1,0,0,0,0,0,1,0,0,0.11071,0.28929,0.00357,0.07500,0.07500,0.00357,0.00357,0.28929,0.14643,0.00357,6,8,0,4,4,0,0,8,7,0,1,1,1,80.0,28.0,4.0,,0,0,86,4.0,9.0,42,1.0000,2
11844584,1,0,1,2015,0,0,1,0,0,0,0,0,0,0,0.00588,0.12353,0.47647,0.00588,0.00588,0.30000,0.06471,0.00588,0.00588,0.00588,0,7,9,0,0,8,6,0,0,0,1,1,1,80.0,25.0,5.0,,0,0,91,23.0,57.0,48,0.8958,7
11844628,1,1,2,2015,0,1,0,0,0,0,0,0,0,0,0.08400,0.36400,0.00400,0.00400,0.08400,0.28400,0.00400,0.00400,0.00400,0.16400,5,9,0,0,5,8,0,0,0,7,1,1,1,70.0,28.0,6.0,,0,0,86,0.0,35.0,44,0.9091,0
11844653,1,1,3,2015,0,0,0,0,0,0,0,0,1,0,0.08750,0.00417,0.17083,0.12917,0.00417,0.00417,0.00417,0.21250,0.37917,0.00417,5,0,7,6,0,0,0,8,9,0,1,1,1,70.0,25.0,5.0,,0,0,79,82.0,68.0,50,0.8800,0
11844719,1,1,1,2015,0,0,0,0,0,1,0,0,0,0,0.09545,0.00455,0.00455,0.09545,0.00455,0.55000,0.00455,0.23182,0.00455,0.00455,6,0,0,6,0,9,0,8,0,0,1,1,0,20.0,28.0,,93.0,0,0,0,34.0,27.0,41,0.8780,6
11844801,1,1,1,2015,0,0,0,0,0,0,0,1,0,0,0.00417,0.04583,0.12917,0.00417,0.04583,0.00417,0.12917,0.62917,0.00417,0.00417,0,5,7,0,5,0,7,9,0,0,1,1,1,60.0,31.0,3.0,,0,0,74,72.0,20.0,40,0.9500,2
11844995,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,0.00400,0.00400,0.00400,0.12400,0.08400,0.00400,0.00400,0.04400,0.00400,0.72400,0,0,0,8,7,0,0,6,0,9,1,1,0,80.0,27.0,4.0,,0,0,0,,11.0,47,0.8936,0
11845190,1,1,2,2015,0,0,0,1,0,0,0,0,0,0,0.00526,0.00526,0.00526,0.47895,0.05789,0.00526,0.00526,0.00526,0.00526,0.42632,0,0,0,9,7,0,0,0,0,8,1,1,1,50.0,31.0,4.0,,0,0,73,33.0,55.0,47,0.9149,0
11845193,1,1,3,2015,0,0,0,0,0,0,1,0,0,0,0.00333,0.00333,0.00333,0.00333,0.10333,0.00333,0.63667,0.00333,0.23667,0.00333,0,0,0,0,7,0,9,0,8,0,1,1,0,80.0,27.0,3.0,,0,0,0,,6.0,50,0.8400,0
11845311,1,0,1,2015,0,0,0,0,1,0,0,0,0,0,0.00769,0.00769,0.00769,0.00769,0.77692,0.00769,0.16154,0.00769,0.00769,0.00769,0,0,0,0,9,0,8,0,0,0,1,1,1,50.0,30.0,4.0,,0,0,84,37.0,56.0,25,1.0000,3
11845425,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,0.00833,0.00833,0.00833,0.00833,0.34167,0.09167,0.00833,0.09167,0.00833,0.42500,0,0,0,0,8,6,0,6,0,9,1,1,1,70.0,33.0,5.0,,0,0,87,50.0,44.0,22,1.0000,0
11845711,0,1,2,2015,0,0,0,0,0,0,0,0,0,1,0.35000,0.01667,0.01667,0.01667,0.01667,0.01667,0.01667,0.01667,0.01667,0.51667,8,0,0,0,0,0,0,0,0,9,1,1,1,60.0,,3.0,,0,0,85,,70.0,20,1.0000,0
11845816,1,2,4,2015,0,0,1,0,0,0,0,0,0,0,0.01667,0.01667,0.68333,0.01667,0.01667,0.01667,0.18333,0.01667,0.01667,0.01667,0,0,9,0,0,0,8,0,0,0,1,1,1,70.0,29.0,5.0,,0,0,68,,0.0,12,1.0000,0
11845926,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,0.00556,0.00556,0.00556,0.00556,0.28333,0.00556,0.17222,0.06111,0.00556,0.45000,0,0,0,0,8,0,7,6,0,9,1,1,1,60.0,28.0,4.0,,0,0,82,,66.0,45,0.8222,0
11846286,1,1,2,2015,0,0,1,0,0,0,0,0,0,0,0.00500,0.00500,0.55500,0.00500,0.00500,0.40500,0.00500,0.00500,0.00500,0.00500,0,0,9,0,0,8,0,0,0,0,1,1,1,60.0,32.0,3.0,,0,0,85,7.0,25.0,44,0.8636,0
11846316,1,1,2,2015,0,0,0,1,0,0,0,0,0,0,0.01111,0.01111,0.01111,0.90000,0.01111,0.01111,0.01111,0.01111,0.01111,0.01111,0,0,0,9,0,0,0,0,0,0,1,1,1,60.0,32.0,4.0,,0,0,76,,0.0,20,0.9500,0
11846341,1,1,2,2015,0,0,0,0,0,1,0,0,0,0,0.00833,0.00833,0.00833,0.00833,0.25833,0.42500,0.00833,0.00833,0.09167,0.17500,0,0,0,0,8,9,0,0,6,7,1,1,1,60.0,26.0,3.0,,0,0,88,83.0,85.0,28,0.7857,0
11846439,1,1,2,2015,0,0,0,0,1,0,0,0,0,0,0.26842,0.05789,0.00526,0.00526,0.53158,0.00526,0.00526,0.11053,0.00526,0.00526,8,6,0,0,9,0,0,7,0,0,1,1,1,80.0,28.0,5.0,,0,0,84,,50.0,45,0.9556,0
11846480,1,1,4,2015,0,1,0,0,0,0,0,0,0,0,0.00385,0.54231,0.42692,0.00385,0.00385,0.00385,0.00385,0.00385,0.00385,0.00385,0,9,8,0,0,0,0,0,0,0,1,1,1,80.0,38.0,6.0,,0,0,87,74.0,62.0,52,0.8077,0
11846627,1,1,1,2015,0,0,0,0,0,1,0,0,0,0,0.00312,0.06562,0.03437,0.00312,0.06562,0.81562,0.00312,0.00312,0.00312,0.00312,0,7,6,0,7,9,0,0,0,0,1,1,1,60.0,27.0,5.0,,0,0,73,55.0,53.0,44,0.9773,6
11846665,1,1,3,2015,0,0,0,0,0,0,1,0,0,0,0.00556,0.06111,0.33889,0.11667,0.00556,0.00556,0.45000,0.00556,0.00556,0.00556,0,6,8,7,0,0,9,0,0,0,1,1,1,90.0,24.0,4.0,,0,0,89,5.0,13.0,35,0.9143,0
11846746,1,1,4,2015,0,0,0,0,0,1,0,0,0,0,0.00714,0.07857,0.00714,0.00714,0.07857,0.50714,0.07857,0.00714,0.00714,0.22143,0,5,0,0,5,9,5,0,0,8,1,1,1,50.0,28.0,5.0,,0,0,77,17.0,9.0,26,1.0000,0
11846946,1,1,3,2015,1,0,0,0,0,0,0,0,0,0,0.48261,0.00435,0.00435,0.17826,0.00435,0.26522,0.00435,0.00435,0.04783,0.00435,9,0,0,7,0,8,0,0,6,0,1,1,1,70.0,27.0,8.0,,0,0,87,65.0,63.0,49,0.8571,0
11846993,1,1,4,2015,0,0,1,0,0,0,0,0,0,0,0.00500,0.00500,0.80500,0.10500,0.00500,0.00500,0.05500,0.00500,0.00500,0.00500,0,0,9,8,0,0,7,0,0,0,1,1,1,70.0,39.0,6.0,,0,0,85,56.0,86.0,49,0.7755,0
11847186,1,1,3,2015,0,0,1,0,0,0,0,0,0,0,0.01250,0.01250,0.51250,0.01250,0.01250,0.01250,0.01250,0.01250,0.01250,0.38750,0,0,9,0,0,0,0,0,0,8,1,1,0,70.0,23.0,2.0,,0,0,0,0.0,78.0,16,0.9375,0
11847197,1,1,2,2015,0,1,1,0,0,0,0,0,0,0,0.02000,0.42000,0.42000,0.02000,0.02000,0.02000,0.02000,0.02000,0.02000,0.02000,0,8,8,0,0,0,0,0,0,0,1,1,0,60.0,35.0,3.0,,0,0,0,83.0,88.0,11,1.0000,0
11847349,1,2,1,2015,0,0,0,0,1,0,0,0,0,0,0.01000,0.01000,0.01000,0.01000,0.71000,0.01000,0.01000,0.21000,0.01000,0.01000,0,0,0,0,9,0,0,8,0,0,1,1,1,70.0,34.0,3.0,,0,0,78,0.0,20.0,20,0.8500,0
11847375,1,2,4,2015,0,0,0,0,0,0,1,0,0,0,0.14091,0.09545,0.00455,0.09545,0.00455,0.00455,0.64091,0.00455,0.00455,0.00455,8,6,0,6,0,0,9,0,0,0,1,1,1,80.0,32.0,8.0,,0,0,90,85.0,91.0,50,0.9000,0
11847377,1,2,4,2015,0,0,0,0,0,0,1,0,0,0,0.00667,0.20667,0.00667,0.00667,0.00667,0.00667,0.60667,0.07333,0.07333,0.00667,0,8,0,0,0,0,9,6,6,0,1,1,1,50.0,31.0,4.0,,0,0,79,2.0,7.0,24,1.0000,0
11847684,1,1,2,2015,0,1,0,0,0,0,0,0,0,0,0.00500,0.45500,0.00500,0.05500,0.00500,0.10500,0.00500,0.00500,0.00500,0.35500,0,9,0,6,0,7,0,0,0,8,1,1,1,50.0,26.0,4.0,,0,0,76,36.0,25.0,44,0.8864,0
11847784,1,1,2,2015,0,0,0,0,1,0,0,0,0,0,0.00769,0.00769,0.00769,0.31538,0.62308,0.00769,0.00769,0.00769,0.00769,0.00769,0,0,0,8,9,0,0,0,0,0,1,1,1,50.0,33.0,5.0,,0,0,81,53.0,41.0,36,0.9444,0
11847954,1,1,3,2015,0,0,0,0,0,0,1,0,0,0,0.23462,0.00385,0.00385,0.04231,0.19615,0.00385,0.50385,0.00385,0.00385,0.00385,8,0,0,6,7,0,9,0,0,0,1,1,1,70.0,27.0,3.0,,0,0,72,8.0,8.0,50,0.9000,0
11848183,1,1,2,2015,0,1,0,0,0,0,0,0,0,0,0.00345,0.45172,0.00345,0.27931,0.00345,0.00345,0.00345,0.00345,0.00345,0.24483,0,9,0,8,0,0,0,0,0,7,1,1,1,70.0,30.0,4.0,,0,0,91,34.0,62.0,43,0.9302,0
11848224,1,1,1,2015,0,0,0,0,0,0,0,0,1,0,0.08077,0.00385,0.00385,0.00385,0.00385,0.00385,0.00385,0.31154,0.38846,0.19615,6,0,0,0,0,0,0,8,9,7,1,1,1,80.0,38.0,7.0,,0,0,81,31.0,33.0,50,0.8800,2
11848280,1,1,1,2015,0,0,0,0,0,0,1,0,1,0,0.00345,0.00345,0.17586,0.00345,0.00345,0.00345,0.27931,0.10690,0.27931,0.14138,0,0,7,0,0,0,8,5,8,6,1,1,1,70.0,34.0,5.0,,0,0,77,41.0,45.0,49,0.9592,2
11848448,1,1,2,2015,0,0,0,1,0,0,0,0,0,0,0.00588,0.00588,0.00588,0.53529,0.06471,0.00588,0.30000,0.06471,0.00588,0.00588,0,0,0,9,6,0,8,6,0,0,1,1,1,50.0,29.0,6.0,,0,0,80,50.0,62.0,37,0.8919,0
11848478,1,1,2,2015,0,0,1,0,0,0,0,0,0,0,0.00500,0.05500,0.65500,0.00500,0.00500,0.00500,0.00500,0.00500,0.00500,0.25500,0,7,9,0,0,0,0,0,0,8,1,1,1,50.0,32.0,5.0,,0,0,77,,0.0,34,0.9118,0
11848573,1,1,3,2015,0,0,0,0,0,0,1,0,0,0,0.00769,0.00769,0.00769,0.00769,0.08462,0.08462,0.77692,0.00769,0.00769,0.00769,0,0,0,0,7,7,9,0,0,0,1,1,1,60.0,32.0,4.0,,0,0,81,70.0,,27,0.8889,0
11848603,0,1,1,2015,0,1,0,0,0,0,0,0,1,0,0.00333,0.40333,0.00333,0.13667,0.03667,0.00333,0.00333,0.00333,0.40333,0.00333,0,8,0,7,6,0,0,0,8,0,1,1,1,40.0,,6.0,,0,0,84,64.0,73.0,52,0.9038,1
11848640,1,1,2,2015,0,0,0,0,1,0,0,0,0,0,0.00714,0.00714,0.00714,0.36429,0.57857,0.00714,0.00714,0.00714,0.00714,0.00714,0,0,0,8,9,0,0,0,0,0,1,1,1,60.0,28.0,6.0,,0,0,89,10.0,71.0,34,0.9412,0
11848680,1,1,3,2015,0,0,0,0,1,0,0,0,0,0,0.00435,0.04783,0.00435,0.00435,0.65652,0.00435,0.00435,0.00435,0.26522,0.00435,0,7,0,0,9,0,0,0,8,0,1,1,1,80.0,27.0,5.0,,0,0,81,,,44,0.8864,0
11848792,1,1,2,2015,0,0,0,0,0,0,0,0,0,1,0.00476,0.00476,0.00476,0.00476,0.00476,0.00476,0.00476,0.00476,0.00476,0.95714,0,0,0,0,0,0,0,0,0,9,1,1,1,70.0,29.0,5.0,,0,0,87,4.0,50.0,40,0.8750,0
11849062,1,1,1,2015,1,0,0,0,0,0,0,0,0,0,0.44815,0.00370,0.00370,0.00370,0.15185,0.15185,0.04074,0.18889,0.00370,0.00370,9,0,0,0,6,6,5,8,0,0,1,1,1,60.0,33.0,2.0,,0,0,87,42.0,84.0,44,1.0000,7
11849160,1,1,4,2015,0,0,1,0,0,0,0,0,0,0,0.00500,0.00500,0.55500,0.00500,0.20500,0.00500,0.20500,0.00500,0.00500,0.00500,0,0,9,0,7,0,7,0,0,0,1,1,1,60.0,26.0,6.0,,0,0,77,9.0,,36,0.8611,0
11850431,1,1,3,2015,0,0,0,0,1,0,0,0,1,0,0.03333,0.03333,0.03333,0.03333,0.36667,0.03333,0.03333,0.03333,0.36667,0.03333,0,0,0,0,8,0,0,0,8,0,1,1,1,70.0,30.0,2.0,,0,0,86,38.0,64.0,11,1.0000,0
11850554,1,2,0,2015,0,0,0,0,1,0,0,0,0,0,0.05000,0.05000,0.05000,0.05000,0.55000,0.05000,0.05000,0.05000,0.05000,0.05000,0,0,0,0,9,0,0,0,0,0,1,1,1,70.0,28.0,4.0,,0,0,78,0.0,0.0,4,1.0000,0
11850582,1,1,2,2015,0,0,0,0,1,0,0,0,0,0,0.00476,0.19524,0.00476,0.14762,0.62381,0.00476,0.00476,0.00476,0.00476,0.00476,0,8,0,7,9,0,0,0,0,0,1,1,1,80.0,26.0,6.0,,0,0,84,35.0,72.0,44,0.9318,0
11850821,1,1,2,2015,0,0,0,0,1,0,0,0,0,0,0.00385,0.38846,0.00385,0.00385,0.50385,0.00385,0.08077,0.00385,0.00385,0.00385,0,8,0,0,9,0,7,0,0,0,1,1,1,60.0,35.0,5.0,,0,0,83,39.0,31.0,47,0.8936,0
11851222,1,1,2,2015,0,0,0,0,0,1,0,0,0,0,0.00435,0.00435,0.00435,0.30870,0.00435,0.65652,0.00435,0.00435,0.00435,0.00435,0,0,0,8,0,9,0,0,0,0,1,1,1,70.0,28.0,3.0,,0,0,80,30.0,18.0,48,0.8542,0
11851392,1,1,4,2015,0,0,1,0,0,0,0,0,0,0,0.00500,0.00500,0.45500,0.00500,0.40500,0.00500,0.10500,0.00500,0.00500,0.00500,0,0,9,0,8,0,7,0,0,0,1,1,1,60.0,39.0,5.0,,0,0,85,90.0,82.0,45,0.8444,0
11851661,1,1,4,2015,0,0,0,0,0,0,0,0,1,0,0.00526,0.00526,0.00526,0.00526,0.00526,0.00526,0.05789,0.32105,0.53158,0.05789,0,0,0,0,0,0,6,8,9,6,1,1,1,50.0,28.0,3.0,,0,0,84,70.0,50.0,53,0.8868,0
11851714,1,1,4,2015,0,0,1,0,0,0,0,0,0,0,0.07333,0.00667,0.80667,0.00667,0.00667,0.00667,0.00667,0.00667,0.07333,0.00667,7,0,9,0,0,0,0,0,7,0,1,1,1,80.0,33.0,5.0,,0,0,89,,,18,0.9444,0
