0: 0.050*time, 0.050*choose, 0.050*field, 0.049*successful, 0.043*many, 0.028*consider, 0.026*engage, 0.024*world, 0.023*singer, 0.023*addition, 0.021*today, 0.020*music, 0.019*write, 0.018*famous, 0.017*excel, 0.017*creative, 0.016*career, 0.015*develop, 0.015*connect, 0.012*love, 
36: 0.137*change, 0.067*make, 0.059*desire, 0.054*well, 0.053*influence, 0.045*try, 0.043*environment, 0.041*lead, 0.034*social, 0.024*improve, 0.022*around, 0.022*big, 0.018*society, 0.018*manage, 0.017*believe, 0.014*appreciate, 0.013*perception, 0.013*affect, 0.013*wrong, 0.012*strongly_believe, 
37: 0.189*positive, 0.143*quality, 0.077*eye, 0.067*see, 0.039*find, 0.031*trait, 0.022*environment, 0.021*number, 0.020*around, 0.020*radiate, 0.018*aunt, 0.014*positivity, 0.014*negative, 0.013*self, 0.012*chose_portray, 0.011*mostly, 0.010*mainly, 0.010*reflect, 0.010*preserve, 0.010*event, 
38: 0.201*help, 0.141*other, 0.071*give, 0.048*contribute, 0.047*desire, 0.041*try, 0.040*need, 0.028*much_possible, 0.023*strive, 0.017*support, 0.016*kindness, 0.012*volunteer, 0.012*imaginary, 0.011*share, 0.010*feeling, 0.009*anything_return, 0.009*attentive, 0.008*without_aske, 0.008*sacrifice, 0.008*look, 
39: 0.119*help, 0.055*money, 0.048*poor, 0.048*give, 0.047*care, 0.044*rich, 0.037*society, 0.035*robin_hood, 0.035*weak, 0.033*donate, 0.023*contribute, 0.021*justice, 0.015*raise, 0.015*needy, 0.014*steal, 0.011*other, 0.010*donation, 0.010*charity, 0.010*generous, 0.010*caring, 
40: 0.216*opinion, 0.079*act, 0.048*positive_trait, 0.042*other, 0.040*stand, 0.038*express, 0.038*respect, 0.024*view, 0.024*benefit, 0.022*time, 0.017*general, 0.017*motive, 0.013*afraid_express, 0.011*courage_determination, 0.010*personal, 0.010*pure, 0.010*wisdom, 0.010*intention, 0.009*firm, 0.009*positive_traits, 
41: 0.080*man, 0.062*menachem_begin, 0.042*action, 0.042*begin, 0.038*prime_minister, 0.035*leader, 0.029*country, 0.021*entire, 0.021*brave, 0.019*state, 0.017*real, 0.016*war, 0.015*great, 0.015*winston_churchill, 0.014*unity, 0.012*deal, 0.011*order, 0.011*government, 0.010*british, 0.010*ship, 
42: 0.086*responsible, 0.067*care, 0.057*know, 0.051*trust, 0.048*perform, 0.043*well, 0.037*task, 0.036*professional, 0.025*make, 0.024*best_side, 0.017*trustworthy, 0.015*success, 0.015*reliable, 0.015*course, 0.014*order, 0.014*role, 0.014*require, 0.013*support, 0.012*reason, 0.012*serious, 
43: 0.128*time, 0.088*know, 0.071*right, 0.056*work, 0.046*place, 0.040*full, 0.040*moment, 0.034*hard, 0.032*good, 0.029*need, 0.024*constantly, 0.020*even, 0.017*convey, 0.015*behave, 0.014*guide, 0.013*necessary, 0.011*arrive, 0.009*complete, 0.008*message, 0.008*adore, 
44: 0.073*great, 0.063*man, 0.053*leader, 0.042*also, 0.040*act, 0.039*death, 0.033*fact, 0.032*cause, 0.026*free, 0.025*first, 0.024*day, 0.024*slave, 0.020*eventually, 0.019*commit, 0.019*come, 0.018*historical_figure, 0.012*spartacus, 0.012*late, 0.011*slavery, 0.011*realize, 
45: 0.065*high, 0.063*goal, 0.054*reach, 0.048*succeed, 0.040*aspiration, 0.037*achieve, 0.034*aspire, 0.033*achievement, 0.033*ambition, 0.027*strive, 0.027*success, 0.026*determination, 0.023*motivation, 0.018*represent, 0.018*meet, 0.016*set_goal, 0.016*opinion, 0.014*achieve_goal, 0.014*result, 0.014*determine, 
46: 0.118*country, 0.075*man, 0.050*military, 0.039*contribute, 0.032*significant, 0.032*army, 0.024*show, 0.023*serve, 0.022*general, 0.021*part, 0.020*role, 0.017*service, 0.017*still, 0.015*today, 0.014*shape, 0.014*head, 0.013*eye, 0.013*much, 0.013*appreciation, 0.011*operation, 
47: 0.073*much, 0.052*story, 0.041*hear, 0.038*appreciate, 0.034*break, 0.028*read, 0.023*tell, 0.022*really_appreciate, 0.021*true, 0.020*talk, 0.020*bit, 0.019*deal, 0.017*recently, 0.015*stay, 0.015*course, 0.014*sound, 0.014*case, 0.014*small, 0.014*easy, 0.013*childish, 
48: 0.140*believe, 0.075*choose, 0.070*even, 0.052*many, 0.050*way, 0.039*follow, 0.027*faith, 0.026*path, 0.026*position, 0.025*agree, 0.021*oppose, 0.018*prove, 0.017*truth, 0.017*away, 0.016*opponent, 0.015*stood_ground, 0.014*ideology, 0.014*end, 0.012*opposition, 0.012*work, 
49: 0.200*mother, 0.089*always, 0.077*woman, 0.064*give, 0.054*strong, 0.040*choose, 0.032*need, 0.028*care, 0.021*strong_woman, 0.020*mom, 0.019*lot, 0.017*grandmother, 0.016*encourage, 0.014*supportive, 0.014*role_model, 0.014*good, 0.013*advise, 0.013*adore, 0.012*amazing, 0.011*support, 
50: 0.097*life, 0.088*see, 0.079*learn, 0.077*lot, 0.057*look, 0.054*experience, 0.027*desire, 0.026*thing, 0.019*box, 0.016*seem, 0.014*really_like, 0.014*broad, 0.014*open, 0.014*past, 0.013*little_prince, 0.012*vision, 0.011*rise, 0.011*adult, 0.011*actually, 0.010*meaningful, 
51: 0.307*positive, 0.118*figure, 0.100*traits_seem, 0.082*eye, 0.052*quality, 0.025*realistic, 0.023*perceive, 0.016*describe, 0.014*think, 0.013*feel, 0.012*future, 0.011*aspiration, 0.010*trait, 0.009*consider, 0.008*thinking, 0.006*taking_responsibility, 0.006*live, 0.005*display, 0.005*exactly, 0.004*fulfill_vision, 
52: 0.150*want, 0.118*get, 0.076*way, 0.065*really, 0.056*also, 0.033*fight, 0.029*appreciate, 0.027*sit, 0.025*matter, 0.024*connect, 0.023*come, 0.017*sister, 0.015*warm, 0.014*deserve, 0.013*back, 0.013*long, 0.009*enough, 0.009*stubborn, 0.008*military, 0.008*terribly, 
53: 0.115*care, 0.111*good, 0.109*give, 0.075*love, 0.052*other, 0.041*heart, 0.033*know, 0.029*listen, 0.027*personal, 0.023*caring, 0.019*feel, 0.017*confident, 0.015*confidence, 0.013*feeling, 0.013*receive, 0.009*loving, 0.009*honestly, 0.009*decision, 0.009*show, 0.008*touch, 
54: 0.119*know, 0.086*way, 0.071*good, 0.067*thing, 0.046*hand, 0.045*also, 0.034*heart, 0.032*around, 0.025*honest, 0.024*realistic, 0.020*calculate, 0.018*notice, 0.017*emotion, 0.016*let, 0.016*direct, 0.012*extraordinary, 0.012*draw, 0.012*control, 0.012*sensitive, 0.010*wisely, 
55: 0.155*learn, 0.098*lot, 0.072*love, 0.059*also, 0.045*knowledge, 0.040*educate, 0.037*curious, 0.030*modest, 0.029*teach, 0.027*addition, 0.023*new_thing, 0.019*animal, 0.018*nature, 0.017*develop, 0.013*smart, 0.012*see, 0.011*mission, 0.009*behavior, 0.009*sensitivity, 0.007*cold, 
56: 0.079*power, 0.059*help, 0.058*use, 0.033*save, 0.031*take, 0.022*hero, 0.021*even, 0.017*law, 0.016*superman, 0.016*special, 0.016*keep, 0.016*protect, 0.016*ask, 0.016*mean, 0.013*identity, 0.013*secret, 0.013*receive, 0.012*fictional, 0.012*crime, 0.012*consideration, 
57: 0.149*ability, 0.028*express, 0.027*knowledge, 0.026*wisdom, 0.023*personal, 0.022*charisma, 0.022*use, 0.020*understanding, 0.019*tremendous, 0.019*reality, 0.017*connect, 0.017*thing, 0.016*identify, 0.016*sensitivity, 0.014*audience, 0.014*combine, 0.014*wonderful, 0.014*develop, 0.013*speech, 0.011*forgive, 
58: 0.125*love, 0.109*choose, 0.095*much, 0.043*talk, 0.036*quiet, 0.034*connect, 0.026*modest, 0.024*little, 0.023*humble, 0.021*simple, 0.015*learn, 0.014*guy, 0.014*run, 0.012*like, 0.012*usually, 0.012*relationship, 0.012*quietly, 0.012*modesty, 0.012*kind, 0.011*appreciate, 
59: 0.184*lead, 0.162*leader, 0.066*charismatic, 0.054*moshe_rabbeinu, 0.043*figure, 0.039*choose, 0.035*humble, 0.026*sweep, 0.026*leadership, 0.022*entire, 0.015*bring, 0.014*historical_figure, 0.014*true, 0.013*manage, 0.013*bible, 0.010*stutter, 0.010*strong, 0.009*whole, 0.008*carry, 0.008*desert, 
60: 0.137*know, 0.054*smart, 0.054*calm, 0.029*sociable, 0.028*pleasant, 0.027*funny, 0.026*create, 0.025*company, 0.023*trust, 0.021*environment, 0.021*smile, 0.019*considerate, 0.018*approach, 0.017*always, 0.016*around, 0.016*patient, 0.014*laugh, 0.014*confidence, 0.014*charismatic, 0.014*word, 
61: 0.136*life, 0.071*go, 0.047*continue, 0.043*difficult, 0.028*still, 0.024*let, 0.020*move, 0.019*return, 0.018*easy, 0.018*lecture, 0.016*lose, 0.016*today, 0.015*stop, 0.015*hardship, 0.015*story, 0.015*son, 0.014*difficulty, 0.014*really_appreciate, 0.012*manage, 0.012*get, 
62: 0.233*trait, 0.112*think, 0.078*seems_positive, 0.073*choose, 0.065*positive, 0.059*important, 0.034*eye, 0.022*well, 0.020*characterize, 0.019*imaginary, 0.019*positive_trait, 0.013*fact, 0.013*many, 0.011*fair, 0.008*describe, 0.006*program, 0.006*goal, 0.005*appreciate, 0.004*object_admiration, 0.004*worldview, 
63: 0.151*book, 0.046*write, 0.040*read, 0.031*story, 0.030*life, 0.023*name, 0.023*harry_potter, 0.021*series, 0.016*main, 0.016*literary, 0.015*wisdom, 0.015*terribly, 0.015*courage, 0.014*boy, 0.013*writer, 0.012*describe, 0.012*literary_figure, 0.011*reveal, 0.011*kindness, 0.011*recently_read, 
64: 0.069*herzl, 0.052*vision, 0.044*dream, 0.040*give, 0.038*state, 0.036*idea, 0.035*believe, 0.023*jewish, 0.022*many, 0.021*see, 0.019*jewish_state, 0.018*realize, 0.017*make, 0.016*seem, 0.016*establish, 0.016*reality, 0.014*state_contract, 0.013*try, 0.013*herzl_herzl, 0.013*belief, 
65: 0.126*child, 0.055*janusz_korczak, 0.048*life, 0.046*choose, 0.039*save, 0.032*many, 0.030*death, 0.027*holocaust, 0.023*human, 0.023*sacrifice, 0.022*historical_figure, 0.020*educate, 0.017*story, 0.017*jewish, 0.017*nation, 0.016*education, 0.016*example, 0.014*risk, 0.013*opportunity, 0.010*director, 
66: 0.086*situation, 0.074*problem, 0.069*think, 0.059*know, 0.055*find, 0.042*understand, 0.038*way, 0.030*solution, 0.029*solve, 0.025*creative, 0.022*reality, 0.017*improve, 0.015*consider, 0.015*sherlock_holme, 0.014*plan, 0.013*ahead, 0.013*case, 0.013*thought, 0.013*encounter, 0.011*draw, 
67: 0.172*work, 0.048*job, 0.047*family, 0.040*love, 0.029*get, 0.028*describe, 0.026*hard, 0.023*invest, 0.018*lot, 0.017*leave, 0.015*support, 0.015*partner, 0.015*interest, 0.014*interested, 0.013*friend, 0.012*set, 0.012*manager, 0.012*home, 0.012*rest, 0.012*close, 
68: 0.171*respect, 0.089*other, 0.085*give, 0.060*know, 0.057*treat, 0.056*love, 0.033*important, 0.028*behave, 0.021*positive_trait, 0.016*appreciate, 0.014*treatment, 0.014*opportunity, 0.013*human_being, 0.012*imaginary, 0.012*strives_excellence, 0.011*front, 0.009*first_foremost, 0.009*equal, 0.009*judge, 0.009*important_the, 
69: 0.133*important, 0.125*think, 0.066*opinion, 0.065*thing, 0.054*feature, 0.042*also, 0.038*addition, 0.034*come, 0.030*value, 0.028*accept, 0.025*order, 0.021*show, 0.018*necessarily, 0.017*important_trait, 0.015*patience, 0.014*tolerance, 0.011*life, 0.011*contrary, 0.011*specific, 0.008*able, 
70: 0.098*peace, 0.065*yitzhak_rabin, 0.065*man, 0.050*rabin, 0.041*leader, 0.037*figure, 0.036*opinion, 0.022*country, 0.022*value, 0.021*charismatic, 0.020*make, 0.020*prime_minister, 0.019*bring, 0.019*menachem_begin, 0.018*seek, 0.017*fight, 0.016*state, 0.015*war, 0.015*also, 0.015*political, 
71: 0.209*woman, 0.064*strong, 0.046*show, 0.030*assertive, 0.026*first, 0.024*break, 0.023*strong_woman, 0.022*prove, 0.022*determine, 0.022*influence, 0.022*stand, 0.021*opinion, 0.019*let, 0.015*insist, 0.014*front, 0.013*status, 0.012*female, 0.011*young, 0.011*inspire, 0.010*stop, 
72: 0.275*know, 0.099*also, 0.037*need, 0.030*thing, 0.027*necessary, 0.025*demand, 0.020*make_decision, 0.019*decisive, 0.018*charismatic, 0.016*hand, 0.016*assertive, 0.016*appreciate, 0.015*tough, 0.015*afraid, 0.015*knows_listen, 0.012*authoritative, 0.012*properly, 0.011*admit_mistake, 0.010*motivate, 0.009*express_opinion, 
73: 0.195*ability, 0.081*high, 0.060*amazing, 0.037*great, 0.036*excellent, 0.035*speak, 0.021*see, 0.016*create, 0.015*charisma, 0.015*leadership_ability, 0.014*run, 0.014*eye, 0.014*special, 0.014*motivation, 0.013*degree, 0.013*physical, 0.012*self, 0.012*impressive, 0.010*awareness, 0.009*intellectual, 
74: 0.240*always, 0.142*know, 0.067*never, 0.065*well, 0.041*say, 0.030*seem, 0.026*happen, 0.022*turn, 0.017*see, 0.017*aspire, 0.015*bad, 0.013*right_the, 0.012*tell, 0.012*get, 0.010*ask, 0.009*else, 0.007*angry, 0.006*back, 0.006*complain, 0.006*whenever, 
75: 0.088*lead, 0.045*fight, 0.038*difficult, 0.028*group, 0.024*live, 0.024*jewish, 0.024*decide, 0.024*odd, 0.022*courage, 0.022*community, 0.021*especially, 0.020*situation, 0.019*movement, 0.016*chance, 0.016*uprising, 0.016*noble, 0.013*hold, 0.013*period, 0.012*revolt, 0.011*rebel, 
76: 0.040*see, 0.035*choose, 0.031*eye, 0.027*certain, 0.027*question, 0.027*answer, 0.026*addition, 0.022*clear, 0.022*human, 0.022*lack, 0.022*approach, 0.021*issue, 0.021*receive, 0.020*ask, 0.019*look, 0.019*simple, 0.018*line, 0.018*due, 0.017*special, 0.017*attitude, 
77: 0.158*know, 0.100*also, 0.085*need, 0.051*talk, 0.045*speak, 0.041*stand, 0.037*listen, 0.036*understand, 0.021*order, 0.019*serious, 0.019*eye_level, 0.019*compromise, 0.014*able, 0.013*ask, 0.013*importance, 0.012*carry, 0.012*part, 0.010*intelligent, 0.010*support, 0.010*express, 
78: 0.116*father, 0.070*choose, 0.069*think, 0.062*always, 0.053*realistic, 0.048*lot, 0.047*dad, 0.039*learn, 0.039*responsible, 0.038*addition, 0.036*try, 0.028*much, 0.020*positive_trait, 0.019*care, 0.013*admire, 0.012*special, 0.011*inspiration, 0.011*personal_example, 0.010*characteristic, 0.009*optimism, 
79: 0.142*even, 0.072*go, 0.069*give, 0.041*try, 0.039*come, 0.033*fall, 0.033*get, 0.030*difficult, 0.029*fail, 0.028*failure, 0.025*time, 0.024*seem, 0.020*continue, 0.020*put, 0.018*finally, 0.014*last, 0.014*prefer, 0.014*alive, 0.014*moment, 0.012*back, 
80: 0.281*man, 0.098*strong, 0.060*smart, 0.054*humble, 0.052*love, 0.028*yet, 0.026*sharp, 0.018*mind, 0.018*honest, 0.015*seek, 0.015*head, 0.014*witty, 0.012*truly, 0.011*tall, 0.011*loyal, 0.011*value, 0.009*importantly, 0.009*iron, 0.008*particular, 0.008*righteous, 
81: 0.107*situation, 0.106*know, 0.083*even, 0.049*get, 0.037*difficult, 0.026*deal, 0.022*good, 0.022*stress, 0.022*stressful_situation, 0.020*keep, 0.019*well, 0.019*difficult_situation, 0.018*life, 0.018*optimistic, 0.018*cope, 0.018*difficulty, 0.017*function, 0.016*knows_deal, 0.015*composure, 0.013*adapt, 
82: 0.127*want, 0.091*give, 0.081*thing, 0.044*desire, 0.043*important, 0.041*achieve, 0.036*realize, 0.036*invest, 0.034*really, 0.026*change, 0.021*much, 0.020*strive, 0.019*order, 0.016*term, 0.016*fulfill, 0.015*make, 0.014*persevere, 0.012*aspiration, 0.011*progress, 0.011*ambition, 
