120,yshestakov,I don't like hardcoded path to the config like `src/json/sample.json`  Could we have default one `/etc/nvmx/config.json`  and be able to redefine it with shell env like  NVMX_CONFIG=./src/json/sample.json`
121,vasilyMellanox,No  as you can see it s for test needs only   gtest tests the  ./src/json/sample.json  only and nothing else  the test doesn t make sense if user re-configures the json file 
122,alex-mikheev,@yshestakov it is ok to have a fixed path for the test only file. I agree with you about the installable predefined config file. See my next comment.
123,alex-mikheev,@yshestakov 
124,yshestakov,@alex-mikheev got it  thanks.
125,yshestakov,Thanks
126,alex-mikheev,Let's change it to NVME_CONFIG to be consistent with the rest of environment variables ?
127,alex-mikheev,it still uses a relative path ? 
128,alex-mikheev,Do you need to change sysconf_DATA ?  It may have side effects on the other things
129,alex-mikheev,I don't follow the logic here.   Lets say I run configure --prefix=/usr/local  In this case config file should got to /usr/local/etc/mlnx_nvmx_sample.json  If I run configure --prefix=/usr/local --with-conf=/nvmx/my_conf.json config file should go there   Is this the case ?  
130,alex-mikheev,@yshestakov @miked-mellanox @maxgurtovoy  guys if i do ./configure --prefix=/usr/local --with-conf=/nvmx/my_conf.json where should the config file go on make install:  - /usr/local/etc/my_conf.json  - /nvmx/my_conf.json  - /usr/local/etc/nvmx/my_conf.json  - non of the above    Please vote 
131,alex-mikheev,@Artemy-Mellanox 
132,Artemy-Mellanox,IMHO --with-conf should be able to choose file out of  prefix/ sysconfdir  like  /my_conf.json
133,mike-dubman,+1
134,alex-mikheev,It looks like a generic script which can be used without gtest. Let's move it to ./scripts 
135,alex-mikheev,May be it is better to have a separate class (ex NvmfControllerTest) that will run nvmf related test(s) ?
136,alex-mikheev,I talked with @yshestakov and:  - there seems to be no value in the ability to choose a different configuration file name during ./configure step  - configure already gives option of setting custom sysconfdir  - Athough we don't distribute gtests  Yury build a separate RPM for them and he wants an ability to choose different config for tests at runtime    Bottom line @vasilyMellanox   - remove --with-conf option  - Define nvme_controller_emu_DATA = nvme_controller_config.json in the samples/Makefile.am   - At the moment just copy sample file from the src
137,mike-dubman,why device is hardcoded? what if it is diff than mlx5_2? can it be autodetected or taken from config file?
138,mike-dubman,same here
139,yshestakov,1. of course  define could be auto-detected: run `nvme_bar_parse` and detect the controller.  2. I'm going to create a shell wrapper to do so.
140,yshestakov,I wrote a wrapper script `nvmx_run_ctrl.sh` which auto-detects mlx5_2 by calling `nvme_bar_parse  dev`
141,mike-dubman,need to add check if system has systemd  ```  if [ command -v systemctl >/dev/null ]  then  else  fi  ```  or require it in spec deps section
142,mike-dubman,best not to invoke commands  but check sysfs  ```   ls -1 /sys/class/infiniband/  mlx5_0  mlx5_1  mlx5_2  ```
143,mike-dubman,add -eE to let script fail on failures.
144,mike-dubman,/opt/mellanox/nvmx should be taken from _prefix or  {prefix}  not hardcoded
145,yshestakov,I assume we run our software on RHEL7+ or Ubuntu16+ OS. Both have systemd / systemctl.  Not sure about Yocto/BlueOS Linux. I guess it is based on recent Debian userspace  which also uses systemd since Debian 8 (jessie)
146,yshestakov,Added sanity check that `systemctl` command is present
147,mike-dubman,need to add to start it on boot with  ```systemctl enable nvmx```    Also  need  preun section which will disable service before it is removed.
148,mike-dubman,currently  it will start *last* device found  was it intention?  maybe nvmx start and emu commands from line 13 should be executed for every found dev?  or add break to start on 1st found?
149,yshestakov,Which directory should I use to put tests scripts into? assuming ` {_prefix}     /usr`  `/usr/share/nvmx/tests` -> ` {_prefix}/share/nvmx/tests` -> ` {_datarootdir}/nvmx/tests`
150,yshestakov,Removed hardcoded paths  replaced with ` {_datarootdir}`  ` {_sysconfdir}`
151,yshestakov,Well. At this moment `nvme_bar_parse` works only for one device - `mlx5_2` despite 2  nvme ssd  functions enabled in the FW (we see mlx5_2 and mlx5_3 on the ARM side).  Of course I could add `break` to let the script start on the 1st detected  nvme  device
152,yshestakov,added `break` - changeset 329486b
153,yshestakov,added  changeset 07d9ec2
154,mike-dubman,btw  since this script is part of systemd  maybe need use ```logger  instead of ```echo```  Also would add  found_dev that was picked by script for debug purposes.
155,mike-dubman,also ```enable``` to start on boot
156,yshestakov,SystemD handles output to STDERR properly: it marks the text with  red  color.  Value of ` found_dev` is visible in the output of `systemctl status nvmx` and `journalctl -u nvmx` commands:    ```  -- Logs begin at Wed 1969-12-31 19:00:02 EST  end at Wed 2018-10-03 09:19:25 EDT. --  Dec 31 19:07:22 l-snic006.mtl.labs.mlnx systemd[1]: Starting NVMx EMU controller...  Dec 31 19:07:23 l-snic006.mtl.labs.mlnx nvme_start[1834]: NVME emulation is active on mlx5_2  Dec 31 19:07:23 l-snic006.mtl.labs.mlnx systemd[1]: Started NVMx EMU controller.  Dec 31 19:07:24 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: nvme_emu_io_driver.c:148 INFO single_ep posix_io disk  Dec 31 19:07:45 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: NVME controller is ready on mlx5_2  Dec 31 19:07:45 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: ACQ    [0x30..0x38] : 0x86d17c000  [Admin Completion  Dec 31 19:07:45 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: ASQ    [0x28..0x30] : 0x86d17b000  [Admin Submissiong  Dec 31 19:07:45 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: AQA    [0x24..0x28] : 0x1f001f ASQS:31 ACQS:31 [Admin  Dec 31 19:07:45 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: CC     [0x14..0x18] : 0x460001 EN:1 CSS:0 MPS:0 AMS:0  Dec 31 19:07:45 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: devx_verbs.c:738 INFO devx_ctx 0xa680480 created regu  Dec 31 19:07:45 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: devx_verbs.c:738 INFO devx_ctx 0xa680480 created on_b  Dec 31 19:07:45 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: nvme_prm.c:217 ERROR ctx 0xa680480 map QP to NVME db_  Dec 31 19:07:45 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: devx_verbs.c:738 INFO devx_ctx 0xa680480 created regu  Dec 31 19:07:45 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: devx_verbs.c:738 INFO devx_ctx 0xa680480 created on_b  Dec 31 19:07:45 l-snic006.mtl.labs.mlnx nvme_controller_emu[1837]: nvme_prm.c:217 ERROR ctx 0xa680480 map QP to NVME db_  Dec 31 19:08:46 l-snic006.mtl.labs.mlnx systemd[1]: nvmx.service: main process exited  code=killed  status=11/SEGV  Dec 31 19:08:46 l-snic006.mtl.labs.mlnx systemd[1]: Unit nvmx.service entered failed state.  Dec 31 19:08:46 l-snic006.mtl.labs.mlnx systemd[1]: nvmx.service failed.  ```  
157,yshestakov,I guess it's too early to let  nvmx  start on the boot implicitly with default settings (512M posix_io backend).  I plan to improve `nvmx.spec` and `nvmx.service` when the new code will be merged.
158,mike-dubman,btw  /opt//mellanox.nvmx still appears in the spec  it should not.  only _prefix
159,yshestakov,thank you. Fixed  see changeset af7edc5
160,mike-dubman,I think you should use  DESTDIR instead of  RPM_BUILD_ROOT
161,yshestakov,We're installing files NOT into the FS root  but into the ` RPM_BUILD_ROOT` directory like ` /rpmbuild/BUILDROOT/nvmx-0.2-9/` for example.  A content of this directory will be packed into the RPM file.
162,alex-mikheev,imho it will make code mode readable if j is set to zero just before the inner while() loop. Or may be change inner while() loop to the for()
163,yshestakov,could we name it `mlnx_nvmx_config.json`?  IMHO  sample  is not good as default config file name
164,alex-mikheev,remove else { } because you already have return in if()
165,alex-mikheev,no need to cast len here  only in prints where size_t is converted to  llu
166,alex-mikheev,indentation
167,alex-mikheev,may be add assert that num_of_list_entries < 64 ?
168,alex-mikheev,It seems that sleeping on fatal instead of aborting is a very useful feature during debug  So can you add configure --enable-debug-sleep-on-fatal as a separate PR ? 
169,alex-mikheev,Shouldnt it be actually 64 ? If first page starts in the middle of prp1 than all 64 entries should be used right ? 
170,alex-mikheev,Change debug to sleep-on-fatal  In help string change sleep-fatal to sleep-on-fatal 
171,alex-mikheev,You can probably do while(NVME_SLEEP_FATAL) instead of  if def;) 
172,alex-mikheev,you can move actual query code to the devx initialization
173,alex-mikheev,Please add } else { clause to the devx_is_ob_ib() check at line 529 and move the check there.
174,aviadye,@alex-mikheev is it ok it is hardcoded like this?  
175,aviadye,can we take it from the define of worker?
176,aviadye,why?  please fix
177,alex-mikheev,@aviadye it is ok because  we always create qps with DEVX_RQ_SIZE. See devx_qp_init()
178,alex-mikheev,May be add an env variable so that we can change the value at runtime ?    Ideally (not in this PR) the value should be configurable and we can pick max value from mlx_emu_dev_query()
179,alex-mikheev,remove getchar() and printf()
180,alex-mikheev,remove printf()
181,alex-mikheev,remove printf+getchar and printfs in the loop
182,kaomri,I will do it in the next commit
183,mike-dubman,is there doc on ansyble playbook with howto build/rebuild such docker image?
184,yshestakov,@miked-mellanox  I have a set of scripts and READMEs on the NFS share:      `/.autodirect/mtrswgwork/yuriis/swx-devops-containers`    I could at it to the  nvmx  git repo if it is suitable. However  I prefer to create a new Git repo at Github or Gitlab  
185,mike-dubman,maybe best create wiki page under gitub/nvmx and mention it here for howto re-create image
186,yshestakov,`swx-devops-containers` contains both README and shell and Dockerfile scripts. And I do update these scripts.    ```  swx-devops-containers  tree -f  .    ./centos75-core      ./centos75-core/mkimage-yum.sh      ./centos75-core/README.md    ./centos75-devel      ./centos75-devel/build_image.sh      ./centos75-devel/Dockerfile      ./centos75-devel/README.md    ./centos75-rdma-core        ./centos75-rdma-core/build_image.sh        ./centos75-rdma-core/rdma-core.repo        ./centos75-rdma-core/README.md  ```
187,yshestakov,I mean publishing only instructions on nvmx/Wiki is not enough
188,mike-dubman,why version is set from outside of the src tree?  It is defined in the autotools https://github.com/Mellanox/nvmx/blob/master/configure.ac L2 and once configured appears in config.h. nvmx.spec file can be nvmx.spec.in and use var substitute with  VERSION to appear correctly.    see example here:  https://github.com/openucx/ucx/blob/master/configure.ac L21 (lines 11-13 as well)    and here: https://github.com/openucx/ucx/blob/master/ucx.spec.in L4    and here https://github.com/openucx/ucx/blob/master/src/ucp/api/ucp_version.h.in as nvmx should know its version internally and print it in the log to ease support in the field
189,yshestakov,It is a good idea to use `autotool`. I can modify `build_scripts/build_rpm.sh` to generate `nvmx.spec` by `autogen.sh`. Going to try it
190,mike-dubman,but it is a good start  smth like  tools and conf is here  run this and get brand new image.
191,mike-dubman,should be set by substitution
192,mike-dubman,can be grepped from configure.ac or similar
193,yshestakov,@miked-mellanox I've reworked build scripts to take the package version from `AC_INIT` of `configure.ac`
194,yshestakov,done
195,yshestakov,done
196,mike-dubman,-eE
197,yshestakov,I can update `build_scripts/README.md` and copy instructions from `/.autodirect/mtrswgwork/yuriis/swx-devops-containers`  add a reference to this NFS directory
198,mike-dubman,-eE
199,mike-dubman,support@mellanox.com
201,mike-dubman,why not convert nvmx.spec into nvmx.spec.in and use autogen substitute? 
202,yshestakov,Updated `build_scripts/README.md` with a reference to `swx-devops-containers` and short instructions how to rebuild `centos75-rdma-core` docker iamge.
203,mike-dubman,best to NOT keep it in personal project folder  but group level. @MrBr-github please advise on location. maybe /hpc/local/oss/devops/.... ?
204,yshestakov,Fixed
205,yshestakov,run of `./autogen.sh` from `build_rpm.sh` take a few minutes. It's very slow. Much easier is to  grep  the version from `configure.ac`
206,yshestakov,@miked-mellanox   ```    time ./autogen.sh  ...  real    0m47.202s  user    0m27.512s  sys     0m2.966s  ```    Well  for some reason I'm not able to make `configure.ac` create `nvmx.spec` by `nvmx.spec.in`. Let's postpone this change to the next PR.
207,mike-dubman,u need to add spec file into configure.ac as well  see example:  https://github.com/openucx/ucx/blob/master/configure.ac L274  
208,yshestakov,Thanks. I tried to do so. I guess I made some mistake.
209,umanskymax,Perhaps  `mft.repo` file (and other in `ansible/files/*`) need move to  `ansible/roles/<roles-name>/files/`  The idea of Ansible roles is an independent unit of configuration without dependencies.
210,mike-dubman,do u change sudoers file in snic to allow no pw root exec?
211,mike-dubman,IMO  best to put all mellanox provided files/utils under /opt/mellanox to avoid looking entire filesystem for distro vs. mlnx provided files/pkgs
212,mike-dubman,btw  why use it from automount and not copy all needed?  what if BF card is taken to non-mlnx network?
213,yshestakov,No  I don't. I use this file on the host only.  To be honest  it's a tool for internal use. I would like to have standalone version which could be shared with customers
214,yshestakov,I agree. Need to review the content of `. fwvalias`: could be share it with customers as is?  In fact  I need only 2 functions:  - `mcra`  - `fwresetfunc` -- `fw_reset_wrapper_shared.sh  __CHIP --unbind_flow  @`  
215,mike-dubman,* mcra is part of mft.rpm so it will be there  * fwresetfunc - is it a bash func or util? where  __CHIP comes from?    
216,mike-dubman,so u need to change /etc/sudoers on host from ansible  maybe best to copy it during ansible and use by copy.  please start thread with tamir and karem to include this file into mft (add me too)
217,yshestakov,`fwresetfunc` is a local function in the script (reset_bf.sh)  I've copied it from `.fwalias`  where `__CHIPID` is an argument passed to this function like *bluefield*:         fwresetfunc bluefield    ```  fwresetfunc ()  {      __CHIP= 1;      shift;      sudo /.autodirect/mswg/projects/fw/fw_ver/hca_fw_tools/fw_reset_wrapper_shared.sh  __CHIP --unbind_flow  @  }  ```
218,yshestakov,Probably  it makes sense to add `fw_reset_wrapper_shared.sh` to some RPM package like `nvmx-ansible`  which will be installed on the host machine (x86_64) and provide all needed content to setup both the host and SNIC.  
219,mike-dubman,AFAIR  fwreset is part of mft.  best to have it as local copy  lets start thread w/ fw folks on this.
220,yshestakov,Ok  thanks. I've sent an email
221,yshestakov,I agree. Will fix it.
222,yshestakov,`fwreset` is not the same as `reset bluefield`.  In case I run `fwreset` I need to do so on both the host (x86_64) and SNIC (aarch64) sides.  `reset_bf.sh` doesn't depend on state of SNIC/arm side
223,yshestakov,I found a workaround how to reset SNIC FW w/o waiting for the peer host:  ```     SNIC   mlxfwreset -d 03:00.0 --yes -s --skip_fsm_sync r  ```
224,mike-dubman,cool  shall we close FR in the redmine?
225,yshestakov,@miked-mellanox  Yes  we can close it. The same command works from the host. I'm going to modify `reset_bf.sh` script to use `mlxfwreset` only
226,umanskymax,You can use `ansible_os_family` instead `ansible_distribution`. Example:  ```suggestion    when: ansible_os_family ==  RedHat  ```
227,umanskymax,The same for Debian family:  ```suggestion    when: ansible_os_family ==  Debian  ```
228,umanskymax,Service restart better provide via Ansible handlers    and move all handlers into `roles/<roles_name>/handlers/`  
229,yshestakov,Fixed
230,yshestakov,Got it  thanks :)
231,alex-mikheev,stylew: add space between include and <
232,alex-mikheev,can you add getopt() support since there will be more than one option ex --srcip and --srciface to test binding from the specific iface/ip
233,aviadye,nvme_cq_type_cqe - why query is marked as PASS in excel?  nvme_cq_type_nvmf - why query is marked as PASS in excel?    This should be indicated in excel 
234,aviadye,same for nvme_sq_sqe_create_modify_query_destroy  and for nvme_sq_cc_create_modify_query_destroy    you should mark as RED in excel 
235,aviadye,Please rename nvme_sq_sqe_create_modify_query_destroy to nvme_sq_tyep_sqe
236,aviadye,Please rename nvme_sq_nvmf_cc_create_modify_query_destroy to nvme_sq_type_nvmf_cc
237,aviadye,4?
238,galshachaf,OK
239,aviadye,remove dead code
240,aviadye,remove dead code
241,galshachaf,probably stale code. changed back to 12.
242,aviadye,is it working?
243,aviadye,Leave a comment that this test is missing query
244,aviadye,Leave a comment that this test is missing query
245,galshachaf,like magic
246,aviadye,dev_ctx and umem_id already printed above
247,aviadye,didn't u remove this dead code?
248,galshachaf,done
249,galshachaf,done
250,alex-mikheev,a small nitpicking  when comparing with  a constant it is better to put it first. That way  gtest makes a prettier output when the test fails ;)
251,galshachaf,tnx alex :)
252,aviadye,please add a comment that need to fix kernel
253,galshachaf,added
254,maxgurtovoy,typo M -> N
255,maxgurtovoy,The size of every cmd should be 64B. here you have 60B in my count.
256,maxgurtovoy,use a definition as all other env variables in the code.
257,kaomri,It's like NVME_EMU_TYPE
258,mike-dubman,i think you should override rpm build root dir to host local FS.  What if you run ansible on number machines in parallel and they all building inside same dir in   ?
259,mike-dubman,same here
260,mike-dubman,what if already loaded? maybe need to modprobe -r 1st?
261,mike-dubman,what is this IP? 
262,yshestakov,@miked-mellanox `rpmbuild --rebuild` uses ` HOME/rpmbuild/` directory. In case of  root  user it uses local FS on the host.  
263,yshestakov,We run ansible playbook(s) with  become_user = root . So  ` HOME == /root`
264,yshestakov,We need to ensure that  rhsim  module is loaded. No need to unload it (it causes removal of  tmfifo_net0  network interface). Also  `modprobe XXX` doesn't fail if the module is loaded already.
265,yshestakov,It's assumed by developers of BlueField software stack that we use 192.168.100.0/24 network for  Ethernet over RSHIM  interface.  - 192.168.100.1 is assigned to the host  tmfifo_net0  - 192.168.100.2 is assigned to the SNIC  tmfifo_net0  
266,alex-mikheev,add error check
267,maxgurtovoy,what is this  if 0  needed for ?
268,nitzancarmi,I left it since it works  just no longer needed. Removed it now to avoid confusions.
269,alex-mikheev,can you add a nvmx_debug() print to the nvmf_rdma_route_resolved_handler() that will show an actual device ?  ex: nvmx_debug( route resolved: rdma device  s   queue->cm_id->verbs->device->name);
270,alex-mikheev,@yshestakov NVMX_SCRIPTS_DIR is set to the  {ac_pwd}/scripts. (current build directory). So this will break when nvmx is installed from the binary RPM.   In addition NVMX_SCRIPTS_DIR is used in the nvmf controller tests. So it will break if we relocate tests  
271,alex-mikheev,Cannot hardcode device name here because tests may be run of different devices.  Let's use get_dev_name() helper function here and a table with a predefined dev to iface mappings.
272,nitzancarmi,@alex-mikheev I'm not sure how you see this patch being run?  We either need to install (copy) it on the snic  or to use it from the scripts dir.
273,yshestakov,@alex-mikheev Let's don't specify an absolute path to the script and assume it's placed somewhere into  PATH  We can add needed scripts from `scripts/` directory into `/usr/bin/` if needed
274,nitzancarmi,After consulting with Yurii  we will just use  ibdev2netdev  as it is  and the script will be added to bin path from the rpm build.
275,maxgurtovoy,this is error. and false means that this is not a representor.
276,maxgurtovoy,where do we use this code convention ?
277,mike-dubman,why needed? this script is part of mofed/ofed
278,mike-dubman,@nitzancarmi   @yshestakov 
279,mike-dubman,taken from hcoll src code
