id,sex,year,t0,t1,t2,t3,t4,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11789919,1,2015,0.00912,0.00915,0.96296,0.00955,0.00922,1,1,0.96296,1,1,1,60.0,33.0,6.0,,0,0,89,50.0,
11789922,1,2015,0.00960,0.53431,0.00965,0.00962,0.43682,2,2,0.53431,1,1,1,90.0,35.0,8.0,,0,0,88,25.0,68.0
11789924,1,2015,0.01184,0.45092,0.01180,0.11865,0.40678,3,2,0.45092,1,1,1,70.0,33.0,5.0,,0,0,87,,43.0
11789931,1,2015,0.02858,0.02891,0.02858,0.70818,0.20576,2,1,0.70818,1,1,1,50.0,33.0,5.0,,0,0,90,58.0,30.0
11842706,1,2015,0.05946,0.34480,0.58019,0.00776,0.00779,2,2,0.58019,1,1,1,50.0,34.0,6.0,,0,1,92,61.0,78.0
11842809,1,2015,0.01195,0.80828,0.08486,0.08306,0.01186,1,1,0.80828,1,1,1,60.0,29.0,3.0,,0,0,78,,8.0
11842833,1,2015,0.75509,0.01314,0.01258,0.20663,0.01256,2,1,0.75509,1,1,1,60.0,30.0,4.0,,0,0,74,36.0,57.0
11842876,1,2015,0.00882,0.11990,0.85367,0.00890,0.00872,2,1,0.85367,1,1,1,90.0,30.0,4.0,,0,0,82,,54.0
11842885,1,2015,0.06215,0.85983,0.00871,0.06057,0.00874,1,1,0.85983,1,1,1,80.0,27.0,6.0,,0,0,84,87.0,31.0
11842961,1,2015,0.06159,0.90927,0.00966,0.00984,0.00965,1,1,0.90927,1,1,1,90.0,32.0,6.0,,0,0,87,56.0,
11843021,1,2015,0.01256,0.87250,0.01254,0.08988,0.01251,1,1,0.87250,1,1,1,60.0,28.0,4.0,,0,0,90,0.0,0.0
11843134,1,2015,0.01540,0.83662,0.01551,0.11707,0.01540,2,1,0.83662,1,1,1,50.0,27.0,3.0,,0,0,79,24.0,
11843187,1,2015,0.00747,0.38314,0.51557,0.00765,0.08617,2,2,0.51557,1,1,1,50.0,33.0,3.0,,0,0,80,,30.0
11843550,1,2015,0.14374,0.00891,0.00885,0.57414,0.26436,3,1,0.57414,1,1,1,60.0,29.0,4.0,,0,0,84,75.0,93.0
11843567,1,2015,0.08538,0.66649,0.01125,0.16712,0.06976,2,1,0.66649,1,1,1,60.0,34.0,5.0,,0,0,81,68.0,61.0
11843642,1,2015,0.00717,0.34805,0.00720,0.63042,0.00717,2,2,0.63042,1,1,1,70.0,27.0,6.0,,0,0,77,26.0,
11843694,1,2015,0.52611,0.20039,0.25575,0.00900,0.00874,3,1,0.52611,1,1,1,50.0,26.0,4.0,,0,0,74,48.0,36.0
11843713,1,2015,0.08534,0.30334,0.00880,0.59382,0.00871,2,2,0.59382,1,1,1,70.0,29.0,4.0,,0,0,92,13.0,7.0
11843836,1,2015,0.44016,0.21398,0.23797,0.09917,0.00871,3,1,0.44016,1,1,1,80.0,20.0,5.0,,0,0,66,20.0,9.0
11844461,1,2015,0.02519,0.26398,0.02505,0.02531,0.66048,2,1,0.66048,1,1,1,60.0,28.0,7.0,,0,1,92,,5.0
11844527,1,2015,0.00721,0.29910,0.35228,0.33424,0.00717,3,2,0.35228,1,1,1,80.0,28.0,4.0,,0,0,86,4.0,9.0
11844584,1,2015,0.01125,0.12137,0.07680,0.23588,0.55470,3,1,0.55470,1,1,1,80.0,25.0,5.0,,0,0,91,23.0,57.0
11844628,1,2015,0.00808,0.96768,0.00807,0.00811,0.00806,1,1,0.96768,1,1,1,70.0,28.0,6.0,,0,0,86,0.0,35.0
11844653,1,2015,0.24577,0.07391,0.13933,0.53329,0.00770,3,1,0.53329,1,1,1,70.0,25.0,5.0,,0,0,79,82.0,68.0
11844719,1,2015,0.00915,0.49504,0.37709,0.10962,0.00910,3,2,0.49504,1,1,0,20.0,28.0,,93.0,0,0,0,34.0,27.0
11844801,1,2015,0.37196,0.42821,0.00849,0.18298,0.00836,3,2,0.42821,1,1,1,60.0,31.0,3.0,,0,0,74,72.0,20.0
11844995,1,2015,0.00814,0.00814,0.00808,0.00806,0.96758,1,1,0.96758,1,1,0,80.0,27.0,4.0,,0,0,0,,11.0
11845190,1,2015,0.00899,0.13251,0.69857,0.00891,0.15102,3,1,0.69857,1,1,1,50.0,31.0,4.0,,0,0,73,33.0,55.0
11845193,1,2015,0.00672,0.19404,0.04188,0.75067,0.00669,2,1,0.75067,1,1,0,80.0,27.0,3.0,,0,0,0,,6.0
11845311,1,2015,0.01473,0.43877,0.41485,0.01461,0.11705,3,2,0.43877,1,1,1,50.0,30.0,4.0,,0,0,84,37.0,56.0
11845425,1,2015,0.01669,0.71480,0.01671,0.01670,0.23510,2,1,0.71480,1,1,1,70.0,33.0,5.0,,0,0,87,50.0,44.0
11845711,0,2015,0.03385,0.03451,0.86161,0.03445,0.03558,1,1,0.86161,1,1,1,60.0,,3.0,,0,0,85,,70.0
11845816,1,2015,0.02858,0.44901,0.02945,0.17893,0.31403,3,2,0.44901,1,1,1,70.0,29.0,5.0,,0,0,68,,0.0
11845926,1,2015,0.01123,0.95514,0.01125,0.01119,0.01119,1,1,0.95514,1,1,1,60.0,28.0,4.0,,0,0,82,,66.0
11846286,1,2015,0.12682,0.36314,0.01005,0.48995,0.01003,3,2,0.48995,1,1,1,60.0,32.0,3.0,,0,0,85,7.0,25.0
11846316,1,2015,0.02256,0.12693,0.17980,0.64842,0.02228,3,1,0.64842,1,1,1,60.0,32.0,4.0,,0,0,76,,0.0
11846341,1,2015,0.01715,0.10258,0.01684,0.74027,0.12315,3,1,0.74027,1,1,1,60.0,26.0,3.0,,0,0,88,83.0,85.0
11846439,1,2015,0.12710,0.01040,0.01009,0.75095,0.10147,3,1,0.75095,1,1,1,80.0,28.0,5.0,,0,0,84,,50.0
11846480,1,2015,0.00775,0.69708,0.27954,0.00782,0.00781,2,1,0.69708,1,1,1,80.0,38.0,6.0,,0,0,87,74.0,62.0
11846627,1,2015,0.00630,0.56915,0.41198,0.00629,0.00627,2,2,0.56915,1,1,1,60.0,27.0,5.0,,0,0,73,55.0,53.0
11846665,1,2015,0.11750,0.59267,0.01117,0.01160,0.26706,3,1,0.59267,1,1,1,90.0,24.0,4.0,,0,0,89,5.0,13.0
11846746,1,2015,0.39471,0.45666,0.11961,0.01456,0.01447,3,2,0.45666,1,1,1,50.0,28.0,5.0,,0,0,77,17.0,9.0
11846946,1,2015,0.23345,0.00891,0.73992,0.00890,0.00883,2,1,0.73992,1,1,1,70.0,27.0,8.0,,0,0,87,65.0,63.0
11846993,1,2015,0.01002,0.71150,0.01007,0.01016,0.25826,2,1,0.71150,1,1,1,70.0,39.0,6.0,,0,0,85,56.0,86.0
11847186,1,2015,0.54212,0.38182,0.02519,0.02583,0.02503,2,2,0.54212,1,1,0,70.0,23.0,2.0,,0,0,0,0.0,78.0
11847197,1,2015,0.10148,0.10126,0.10149,0.10137,0.59440,5,1,0.59440,1,1,0,60.0,35.0,3.0,,0,0,0,83.0,88.0
11847349,1,2015,0.91683,0.02139,0.02006,0.02172,0.02000,1,1,0.91683,1,1,1,70.0,34.0,3.0,,0,0,78,0.0,20.0
11847375,1,2015,0.06589,0.30681,0.55238,0.00928,0.06564,2,2,0.55238,1,1,1,80.0,32.0,8.0,,0,0,90,85.0,91.0
11847377,1,2015,0.01376,0.94544,0.01341,0.01402,0.01338,1,1,0.94544,1,1,1,50.0,31.0,4.0,,0,0,79,2.0,7.0
11847684,1,2015,0.01008,0.28039,0.07210,0.62738,0.01004,2,1,0.62738,1,1,1,50.0,26.0,4.0,,0,0,76,36.0,25.0
11847784,1,2015,0.01185,0.95231,0.01191,0.01191,0.01203,1,1,0.95231,1,1,1,50.0,33.0,5.0,,0,0,81,53.0,41.0
11847954,1,2015,0.05618,0.27015,0.10445,0.00795,0.56127,3,1,0.56127,1,1,1,70.0,27.0,3.0,,0,0,72,8.0,8.0
11848183,1,2015,0.00692,0.00726,0.18120,0.00711,0.79751,2,1,0.79751,1,1,1,70.0,30.0,4.0,,0,0,91,34.0,62.0
11848224,1,2015,0.00695,0.00717,0.00699,0.97199,0.00691,1,1,0.97199,1,1,1,80.0,38.0,7.0,,0,0,81,31.0,33.0
11848280,1,2015,0.00743,0.27764,0.00743,0.70008,0.00742,2,1,0.70008,1,1,1,70.0,34.0,5.0,,0,0,77,41.0,45.0
11848448,1,2015,0.01188,0.95235,0.01179,0.01206,0.01192,1,1,0.95235,1,1,1,50.0,29.0,6.0,,0,0,80,50.0,62.0
11848478,1,2015,0.06289,0.56387,0.24558,0.00961,0.11804,3,1,0.56387,1,1,1,50.0,32.0,5.0,,0,0,77,,0.0
11848573,1,2015,0.09242,0.72159,0.01431,0.01443,0.15725,2,1,0.72159,1,1,1,60.0,32.0,4.0,,0,0,81,70.0,
11848603,0,2015,0.00674,0.93231,0.04740,0.00682,0.00673,1,1,0.93231,1,1,1,40.0,,6.0,,0,0,84,64.0,73.0
11848640,1,2015,0.01343,0.01364,0.43879,0.52077,0.01336,2,2,0.52077,1,1,1,60.0,28.0,6.0,,0,0,89,10.0,71.0
11848680,1,2015,0.05119,0.00881,0.00876,0.92252,0.00872,1,1,0.92252,1,1,1,80.0,27.0,5.0,,0,0,81,,
11848792,1,2015,0.75058,0.00952,0.00911,0.12913,0.10167,3,1,0.75058,1,1,1,70.0,29.0,5.0,,0,0,87,4.0,50.0
11849062,1,2015,0.35000,0.05617,0.57981,0.00710,0.00692,2,2,0.57981,1,1,1,60.0,33.0,2.0,,0,0,87,42.0,84.0
11849160,1,2015,0.01005,0.95984,0.01001,0.01009,0.01001,1,1,0.95984,1,1,1,60.0,26.0,6.0,,0,0,77,9.0,
11850431,1,2015,0.05000,0.05031,0.05000,0.79968,0.05000,1,1,0.79968,1,1,1,70.0,30.0,2.0,,0,0,86,38.0,64.0
11850554,1,2015,0.10002,0.10001,0.10002,0.59994,0.10002,5,1,0.59994,1,1,1,70.0,28.0,4.0,,0,0,78,0.0,0.0
11850582,1,2015,0.00879,0.96489,0.00875,0.00878,0.00880,1,1,0.96489,1,1,1,80.0,26.0,6.0,,0,0,84,35.0,72.0
11850821,1,2015,0.00790,0.28811,0.00810,0.68808,0.00780,2,1,0.68808,1,1,1,60.0,35.0,5.0,,0,0,83,39.0,31.0
11851222,1,2015,0.09843,0.35544,0.22675,0.00843,0.31095,3,2,0.35544,1,1,1,70.0,28.0,3.0,,0,0,80,30.0,18.0
11851392,1,2015,0.41935,0.48793,0.00958,0.07357,0.00956,2,2,0.48793,1,1,1,60.0,39.0,5.0,,0,0,85,90.0,82.0
11851661,1,2015,0.05996,0.00950,0.00914,0.91230,0.00911,1,1,0.91230,1,1,1,50.0,28.0,3.0,,0,0,84,70.0,50.0
11851714,1,2015,0.01348,0.94617,0.01345,0.01344,0.01346,1,1,0.94617,1,1,1,80.0,33.0,5.0,,0,0,89,,
11851775,1,2015,0.00911,0.00931,0.00914,0.96332,0.00912,1,1,0.96332,1,1,1,60.0,33.0,5.0,,0,0,81,5.0,14.0
11851784,1,2015,0.01254,0.94968,0.01259,0.01256,0.01262,1,1,0.94968,1,1,1,70.0,34.0,4.0,,0,0,82,19.0,3.0
11851914,0,2015,0.67180,0.20319,0.00733,0.11048,0.00719,3,1,0.67180,1,1,1,70.0,,5.0,,0,0,85,64.0,
11852107,1,2015,0.58498,0.00612,0.18400,0.21881,0.00610,3,1,0.58498,1,1,1,90.0,29.0,3.0,,0,0,72,,22.0
11852209,1,2015,0.00877,0.28688,0.68656,0.00892,0.00888,2,1,0.68656,1,1,1,40.0,30.0,4.0,,0,0,91,5.0,19.0
11852264,1,2015,0.00808,0.00823,0.91254,0.06311,0.00805,1,1,0.91254,1,1,1,70.0,28.0,3.0,,0,0,81,5.0,
11852298,1,2015,0.33341,0.60553,0.04662,0.00727,0.00716,2,2,0.60553,1,1,1,80.0,37.0,4.0,,0,0,87,73.0,93.0
11852371,1,2015,0.29456,0.35392,0.01303,0.32597,0.01251,3,2,0.35392,1,1,1,60.0,34.0,5.0,,0,0,80,44.0,20.0
11852484,1,2015,0.08683,0.23346,0.15501,0.01013,0.51458,3,1,0.51458,1,1,1,80.0,34.0,6.0,,0,0,78,65.0,56.0
11852499,1,2015,0.01074,0.68349,0.08040,0.21478,0.01060,2,1,0.68349,1,1,1,70.0,32.0,4.0,,0,0,82,50.0,30.0
11852509,1,2015,0.16634,0.67151,0.13967,0.01136,0.01112,3,1,0.67151,1,1,1,70.0,28.0,5.0,,0,0,81,53.0,63.0
11852646,1,2015,0.10407,0.11368,0.01677,0.66112,0.10435,4,1,0.66112,1,1,1,70.0,34.0,7.0,,0,0,86,71.0,
11852860,1,2015,0.00806,0.50877,0.39500,0.08013,0.00804,2,2,0.50877,1,1,1,60.0,25.0,4.0,,0,0,76,7.0,
11852920,1,2015,0.38218,0.47798,0.06024,0.00962,0.06997,2,2,0.47798,1,1,1,60.0,31.0,5.0,,0,0,84,,16.0
11852936,1,2015,0.01002,0.01016,0.01001,0.85966,0.11015,2,1,0.85966,1,1,1,70.0,29.0,2.0,,0,0,72,52.0,35.0
11853074,1,2015,0.01337,0.94637,0.01336,0.01354,0.01336,1,1,0.94637,1,1,1,50.0,35.0,5.0,,0,0,77,,4.0
11853098,1,2015,0.01066,0.36121,0.13910,0.01071,0.47832,3,2,0.47832,1,1,1,50.0,26.0,4.0,,0,0,89,,40.0
11853407,1,2015,0.06296,0.67505,0.06133,0.00887,0.19178,2,1,0.67505,1,1,1,80.0,30.0,6.0,,0,1,91,85.0,79.0
11853568,1,2015,0.01058,0.95739,0.01060,0.01087,0.01056,1,1,0.95739,1,1,1,60.0,29.0,6.0,,0,0,84,,13.0
11853662,1,2015,0.22170,0.25641,0.01686,0.01696,0.48806,3,1,0.48806,1,1,1,60.0,35.0,5.0,,0,0,89,67.0,65.0
11853733,1,2015,0.01542,0.48020,0.01549,0.01542,0.47347,2,2,0.48020,1,1,1,70.0,30.0,5.0,,0,0,79,,0.0
11853919,1,2015,0.01429,0.01488,0.01445,0.72811,0.22826,2,1,0.72811,1,1,1,70.0,24.0,4.0,,0,0,78,59.0,30.0
11853931,1,2015,0.00748,0.44262,0.00763,0.31227,0.23001,3,2,0.44262,1,1,1,70.0,31.0,6.0,,0,0,87,20.0,26.0
11854011,1,2015,0.07535,0.45012,0.07588,0.13646,0.26219,3,1,0.45012,1,1,1,60.0,28.0,4.0,,0,0,77,,38.0
11854019,1,2015,0.00885,0.46731,0.00881,0.34305,0.17198,3,2,0.46731,1,1,1,80.0,27.0,6.0,,0,0,88,23.0,7.0
11854344,1,2015,0.20829,0.43062,0.01140,0.01133,0.33836,3,2,0.43062,1,1,1,50.0,34.0,5.0,,0,0,81,14.0,60.0
11854558,1,2015,0.25547,0.00848,0.11957,0.46312,0.15336,4,1,0.46312,1,1,1,70.0,25.0,5.0,,0,0,86,19.0,29.0
11854642,1,2015,0.00694,0.53487,0.24236,0.20877,0.00705,3,1,0.53487,1,1,1,80.0,27.0,5.0,,0,0,84,,35.0
11854655,1,2015,0.18905,0.33097,0.00871,0.06560,0.40567,3,2,0.40567,1,1,1,60.0,27.0,4.0,,0,0,75,13.0,4.0
11855233,1,2015,0.00878,0.39058,0.00874,0.45149,0.14041,3,2,0.45149,1,1,1,60.0,33.0,4.0,,0,0,79,62.0,59.0
11855343,1,2015,0.13422,0.33831,0.15956,0.31891,0.04899,4,2,0.33831,1,1,1,70.0,30.0,4.0,,0,0,77,11.0,13.0
11855360,1,2015,0.15579,0.00896,0.24242,0.15120,0.44163,4,1,0.44163,1,1,1,60.0,28.0,6.0,,0,1,91,10.0,14.0
11855479,0,2015,0.00806,0.36599,0.05871,0.51779,0.04945,2,2,0.51779,1,1,1,40.0,,4.0,,0,0,79,35.0,67.0
11855589,1,2015,0.01437,0.53618,0.01446,0.01449,0.42050,2,2,0.53618,1,1,1,70.0,33.0,7.0,,0,0,83,0.0,0.0
11855902,1,2015,0.13457,0.46849,0.01124,0.37450,0.01120,3,2,0.46849,1,1,1,80.0,32.0,5.0,,0,0,90,,28.0
11855933,1,2015,0.01004,0.57281,0.01007,0.39704,0.01005,2,2,0.57281,1,1,1,50.0,29.0,6.0,,0,0,77,12.0,7.0
11856382,1,2015,0.30263,0.32499,0.01186,0.01205,0.34848,3,3,0.34848,1,1,1,80.0,29.0,5.0,,0,0,71,,12.0
11856438,1,2015,0.01182,0.88236,0.01182,0.01191,0.08208,1,1,0.88236,1,1,1,60.0,24.0,3.0,,0,0,83,61.0,32.0
11856724,1,2015,0.01055,0.20414,0.01063,0.20686,0.56782,3,1,0.56782,1,1,1,70.0,34.0,4.0,,0,0,88,21.0,27.0
11857157,0,2015,0.37504,0.28991,0.01002,0.14991,0.17511,4,1,0.37504,1,1,1,60.0,,3.0,,0,0,86,11.0,14.0
11857845,1,2015,0.03334,0.53243,0.20000,0.03435,0.19989,3,1,0.53243,1,1,0,40.0,27.0,,93.0,0,0,0,0.0,41.0
11919046,1,2015,0.29283,0.02611,0.02526,0.63005,0.02575,2,1,0.63005,1,1,1,40.0,26.0,5.0,,0,1,85,21.0,0.0
11922435,1,2015,0.02007,0.71600,0.02009,0.22322,0.02061,2,1,0.71600,1,1,1,90.0,25.0,5.0,,0,0,87,12.0,73.0
11922857,1,2015,0.01860,0.19969,0.11074,0.01838,0.65259,3,1,0.65259,1,1,1,60.0,34.0,4.0,,0,0,85,59.0,50.0
11928262,1,2015,0.02878,0.17441,0.02899,0.73904,0.02879,2,1,0.73904,1,1,1,60.0,32.0,,94.0,0,0,86,5.0,3.0
11934798,1,2015,0.02229,0.32724,0.02228,0.60555,0.02265,2,2,0.60555,1,1,1,50.0,32.0,,93.0,0,0,86,5.0,22.0
11935092,1,2015,0.05215,0.62609,0.00749,0.11839,0.19587,3,1,0.62609,1,1,1,60.0,27.0,5.0,,0,0,85,52.0,83.0
11935766,1,2015,0.02530,0.89932,0.02519,0.02502,0.02517,1,1,0.89932,1,1,1,80.0,32.0,,95.0,0,0,84,47.0,
11936408,1,2015,0.01064,0.21837,0.12866,0.21640,0.42593,4,1,0.42593,1,1,1,90.0,34.0,,94.0,0,0,87,24.0,
11937674,1,2015,0.00958,0.71834,0.10835,0.15402,0.00970,3,1,0.71834,1,1,1,70.0,32.0,4.0,,0,0,86,76.0,
11943275,1,2015,0.08404,0.61706,0.00674,0.16951,0.12265,3,1,0.61706,1,1,1,50.0,33.0,,95.0,0,0,85,5.0,
11943697,1,2015,0.49813,0.45568,0.00560,0.00570,0.03489,2,2,0.49813,1,1,1,60.0,39.0,4.0,,0,0,83,31.0,30.0
11944537,1,2015,0.02237,0.48670,0.44557,0.02292,0.02244,2,2,0.48670,1,1,1,80.0,26.0,6.0,,0,0,86,93.0,89.0
11950731,1,2015,0.19764,0.00724,0.39814,0.04849,0.34849,3,2,0.39814,1,1,1,90.0,19.0,4.0,,0,0,91,74.0,52.0
11953555,1,2015,0.38592,0.14609,0.24569,0.01346,0.20884,4,1,0.38592,1,1,1,90.0,28.0,6.0,,0,0,86,42.0,24.0
11961820,1,2015,0.00960,0.36138,0.07257,0.29580,0.26066,3,1,0.36138,1,1,1,80.0,27.0,4.0,,0,0,86,44.0,71.0
11963044,1,2015,0.24797,0.25303,0.07858,0.04646,0.37396,3,1,0.37396,1,1,1,60.0,21.0,5.0,,0,0,79,0.0,0.0
11963640,1,2015,0.78607,0.00805,0.00801,0.08852,0.10936,2,1,0.78607,1,1,1,70.0,33.0,7.0,,0,0,89,72.0,63.0
11964181,1,2015,0.00721,0.17696,0.80134,0.00724,0.00725,2,1,0.80134,1,1,1,90.0,27.0,4.0,,0,0,87,3.0,29.0
11964769,1,2015,0.00611,0.00632,0.37639,0.00634,0.60484,2,2,0.60484,1,1,1,70.0,30.0,4.0,,0,0,83,38.0,74.0
11964934,1,2015,0.09339,0.10477,0.00922,0.73837,0.05426,2,1,0.73837,1,1,1,50.0,35.0,7.0,,0,0,81,60.0,82.0
11965004,1,2015,0.34347,0.01450,0.61323,0.01448,0.01431,2,2,0.61323,1,1,1,60.0,32.0,5.0,,0,0,89,12.0,19.0
11966152,1,2015,0.01448,0.67373,0.12691,0.01491,0.16998,3,1,0.67373,1,1,1,90.0,27.0,4.0,,0,0,84,89.0,75.0
11966494,1,2015,0.05440,0.36561,0.00823,0.51948,0.05228,2,2,0.51948,1,1,1,70.0,34.0,4.0,,0,0,88,4.0,48.0
11966579,1,2015,0.40151,0.01999,0.01539,0.01545,0.54767,2,2,0.54767,1,1,1,60.0,33.0,5.0,,0,0,84,7.0,
11966589,1,2015,0.00924,0.31415,0.20011,0.10451,0.37198,4,2,0.37198,1,1,1,80.0,31.0,5.0,,0,0,80,15.0,25.0
11969511,1,2015,0.02570,0.02583,0.02509,0.52319,0.40019,2,2,0.52319,1,1,1,60.0,30.0,6.0,,0,0,93,,
11972007,1,2015,0.01185,0.23364,0.01184,0.58593,0.15675,3,1,0.58593,1,1,1,50.0,35.0,,94.0,0,0,86,26.0,86.0
11972185,1,2015,0.00846,0.58677,0.00859,0.00840,0.38777,2,2,0.58677,1,1,1,70.0,37.0,6.0,,0,0,89,11.0,19.0
11972755,1,2015,0.01563,0.42833,0.33503,0.09097,0.13003,3,2,0.42833,1,1,1,70.0,34.0,,94.0,0,0,87,47.0,57.0
11972793,1,2015,0.04457,0.22648,0.14998,0.00703,0.57193,3,1,0.57193,1,1,1,80.0,32.0,6.0,,0,0,91,63.0,55.0
11973980,1,2015,0.01679,0.12916,0.19516,0.64209,0.01680,3,1,0.64209,1,1,1,60.0,28.0,3.0,,0,0,83,,
11974964,1,2015,0.01069,0.35303,0.13760,0.48810,0.01059,3,2,0.48810,1,1,1,70.0,33.0,6.0,,0,0,88,38.0,42.0
11975110,1,2015,0.00810,0.48354,0.39405,0.10627,0.00805,3,2,0.48354,1,1,0,50.0,25.0,4.0,,0,0,0,21.0,21.0
11976168,1,2015,0.08887,0.74628,0.14241,0.01124,0.01119,2,1,0.74628,1,1,1,70.0,28.0,6.0,,0,0,85,0.0,44.0
11976946,1,2015,0.20503,0.55875,0.17279,0.05539,0.00804,3,1,0.55875,1,1,1,60.0,26.0,3.0,,0,0,83,47.0,0.0
11978541,1,2015,0.47805,0.28921,0.09243,0.00774,0.13256,3,1,0.47805,1,1,1,80.0,33.0,8.0,,0,0,91,68.0,76.0
11979298,1,2015,0.31307,0.21939,0.01195,0.44355,0.01204,3,2,0.44355,1,1,1,90.0,33.0,3.0,,0,0,90,81.0,
11980909,1,2015,0.25630,0.11128,0.60141,0.01556,0.01545,3,1,0.60141,1,1,1,70.0,27.0,3.0,,0,0,78,64.0,19.0
11981734,1,2015,0.79393,0.05332,0.05005,0.05264,0.05005,1,1,0.79393,1,1,1,60.0,25.0,3.0,,0,0,83,50.0,83.0
11981805,1,2015,0.20384,0.24240,0.28142,0.01872,0.25362,4,0,0.28142,1,1,1,80.0,32.0,4.0,,0,0,89,21.0,16.0
11983096,1,2015,0.21875,0.47026,0.01559,0.16687,0.12853,4,1,0.47026,1,1,1,80.0,27.0,6.0,,0,0,83,50.0,74.0
11983823,1,2015,0.00882,0.13425,0.15649,0.50480,0.19565,4,1,0.50480,1,1,1,70.0,33.0,5.0,,0,0,82,81.0,58.0
11984069,1,2015,0.00773,0.53940,0.00774,0.39073,0.05440,2,2,0.53940,1,1,1,70.0,33.0,6.0,,0,0,90,58.0,70.0
11984533,1,2015,0.03340,0.03343,0.03340,0.03339,0.86638,1,1,0.86638,1,1,1,80.0,32.0,5.0,,0,0,86,53.0,52.0
11985232,1,2015,0.12386,0.44953,0.02504,0.37634,0.02522,3,2,0.44953,1,1,1,50.0,34.0,,92.0,0,0,78,17.0,7.0
11986575,1,2015,0.01394,0.78044,0.17848,0.01380,0.01334,2,1,0.78044,1,1,1,80.0,24.0,4.0,,0,0,86,,
11988723,1,2015,0.02533,0.89865,0.02523,0.02565,0.02514,1,1,0.89865,1,1,1,70.0,29.0,6.0,,0,0,82,,77.0
11989799,1,2015,0.12165,0.44828,0.14504,0.00596,0.27908,4,1,0.44828,1,1,1,60.0,33.0,6.0,,0,0,86,37.0,79.0
11990167,1,2015,0.00917,0.34618,0.00915,0.62638,0.00912,2,2,0.62638,1,1,1,70.0,32.0,6.0,,0,0,94,67.0,58.0
